,item_id,labels,en,es-CO,de,fr
196,ToM-scene4-instruct3,theory-of-mind,"And that’s because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","And that’s because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","And that’s because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Et c’est parce que, plus tôt dans la journée, alors que personne ne regardait, Isabel a pris le camion de jouets et l’a enterré dans le bac à sable. "
197,ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Su Mamá se enoja con él porque perdió el camión.","Deshalb sucht Johann überall, aber er kann seinen Spielzeuglaster nicht finden. Die Mutter ist böse auf Johann, weil er seinen Spielzeuglaster verloren hat.",Joshua regarde donc partout et il ne peut pas trouver son camion de jouets.
198,ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck? Yes or no?,Is it fair that Mother is mad at Joshua for losing his truck? Yes or no?,Is it fair that Mother is mad at Joshua for losing his truck? Yes or no?,Est-il juste que Mère soit fou à Joshua pour avoir perdu son camion ? Oui ou non?
199,ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? Yes or no?,Is Mother mad at Isabel? Yes or no?,Is Mother mad at Isabel? Yes or no?,La mère est-elle fou à Isabel? Oui ou non?
200,ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? Yes or no?,Is Joshua mad at Isabel? Yes or no?,Is Joshua mad at Isabel? Yes or no?,Josué est-il fou à Isabel? Oui ou non?
201,ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Cuando Isabel se da cuenta de que la mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.","Als Isabelle sieht, dass die Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.","Quand Isabel voit que la mère est fou à Josué, Elle va au bac à sable et creuse le camion de jouets, et le renvoie à Joshua."
202,ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now? Yes or no?,Is Mother mad at Joshua now? Yes or no?,Is Mother mad at Joshua now? Yes or no?,La mère est-elle fou à Josué maintenant? Oui ou non?
203,ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now? Yes or no?,Is Mother mad at Isabel now? Yes or no?,Is Mother mad at Isabel now? Yes or no?,La mère est-elle fou à Isabel maintenant? Oui ou non?
204,ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now? Yes or no?,Is Joshua mad at Isabel now? Yes or no?,Is Joshua mad at Isabel now? Yes or no?,Josué est-il fou à Isabel maintenant? Oui ou non?
205,ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel le ofrece disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y la mamá se une a ellos.","Isabelle sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine große Umarmung. Johann erwidert die Umarmung, und auch die Mutter schließt sich ihr an.","Isabel dit à Joshua qu’elle est très désolée, et elle lui donne un gros câlin, Joshua lui redonne un gros câlin et Mère y rejoint."
206,ToM-scene5-instruct1,theory-of-mind,"This is Marie. And earlier today, Marie’s mom was cleaning the house, while Marie watched. Mom left three cups in the kitchen.","This is Marie. And earlier today, Marie’s mom was cleaning the house, while Marie watched. Mom left three cups in the kitchen.","This is Marie. And earlier today, Marie’s mom was cleaning the house, while Marie watched. Mom left three cups in the kitchen.","C’est Marie, et plus tôt aujourd’hui, la mère de Marie nettoyait la maison, tandis que Marie regardait la maman laissait trois tasses dans la cuisine."
207,ToM-scene5-instruct2,theory-of-mind,"There is this small cup on the counter, this medium sized cup on this table, and this big cup down here, on this shelf. So Marie and Dad just walked in and Marie asks her dad to get her a cup. And Marie tells her Dad, “I want the big cup!”","There is this small cup on the counter, this medium sized cup on this table, and this big cup down here, on this shelf. So Marie and Dad just walked in and Marie asks her dad to get her a cup. And Marie tells her Dad, “I want the big cup!”","There is this small cup on the counter, this medium sized cup on this table, and this big cup down here, on this shelf. So Marie and Dad just walked in and Marie asks her dad to get her a cup. And Marie tells her Dad, “I want the big cup!”","Il y a cette petite tasse sur le comptoir, cette tasse de taille moyenne sur cette table, et cette grande tasse sur cette étagère. Marie et Papa ont donc fait une petite entrée et Marie demande à son père de lui donner une tasse. Et Marie lui dit : « Je veux la grosse tasse! »"
208,ToM-scene5-q1,theory-of-mind,Which cup will Dad give Marie?,Which cup will Dad give Marie?,Which cup will Dad give Marie?,Quelle tasse papa donnera-t-elle à Marie ?
209,ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Marie want?,Which cup does Marie want?,Which cup does Marie want?,Quelle coupe veut Marie ?
210,ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va.","Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam et Maria jouent ensemble, ils regardent dehors et voient un nouveau magasin de l'autre côté de la rue. Maria dit à Sam : « Je vais acheter de nouvelles chemises pour nous là-bas », et elle s’éloigne."
211,ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","La mère rentre chez elle et elle dit à Sam qu'elle vient de marcher près de la boutique. « S'agit-il de vendre des chemises ? » demande Sam. « Non », dit la maman, « Ils ne vendent que des chaussures », « Maria va probablement maintenant obtenir des chaussures dans le magasin », dit Sam."
212,ToM-scene6-q1,theory-of-mind,Does Maria know that they are selling shoes in the shop?,"	
¿María sabe que en la tienda venden zapatos?",Does Maria know that they are selling shoes in the shop?,Maria sait-elle qu'ils vendent des chaussures dans le magasin?
213,ToM-scene6-instruct3,theory-of-mind,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","María llega a la tienda y dice ""me gustaría comprar camisas."" La vendedora responde ""Sólo nos quedan medias."" Como María también necesita medias, decide comprar algunos pares.","Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","Maria est arrivée à la boutique. « Je voudrais acheter des chemises », dit-elle. « Il ne nous reste plus que des chaussettes », dit le marchand. Comme Maria a aussi besoin de chaussettes, elle décide de se procurer des chaussettes."
214,ToM-scene6-q2,theory-of-mind,Does Sam know that Maria bought some socks?,¿Sam sabe que María ha comprado medias?,Does Sam know that Maria bought some socks?,Sam sait-il que Maria a acheté des chaussettes?
215,ToM-scene6-q3,theory-of-mind,What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,What does Sam think they are selling at the shop?,Qu'est-ce que Sam pense qu'ils vendent dans la boutique?
216,ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”","On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”","On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”","A son retour, Maria rencontre son papa et lui dit : « Je viens d’acheter des chaussettes. Je vais les partager avec mon frère Sam. C’est une surprise. »
« C’est gentil de vous », dit mon père. Puis il demande à Maria: « Sam saurait-il ce que vous l’avez acheté ? »"
217,ToM-scene6-q4,theory-of-mind,What does Maria tell dad?,What does Maria tell dad?,What does Maria tell dad?,Que dit Maria papa?
218,ToM-scene6-instruct5,theory-of-mind,Then dad asks: “What does Sam think they are selling at the shop?”,Then dad asks: “What does Sam think they are selling at the shop?”,Then dad asks: “What does Sam think they are selling at the shop?”,Puis papa demande : « Qu'est-ce que Sam pense qu'ils vendent dans le magasin? »
219,ToM-scene6-q5,theory-of-mind,What does Maria tell dad?,What does Maria tell dad?,What does Maria tell dad?,Que dit Maria papa?
220,ToM-scene6-q6,theory-of-mind,What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,What does Sam think they are selling at the shop?,Qu'est-ce que Sam pense qu'ils vendent dans la boutique?
221,hostile-attribution-scene1-instruct1,hostile-attribution,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imagina que vas camino a la escuela y llevas puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usas.,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst.",Imaginez que vous marchez jusqu'à l'école et que vous portez vos nouvelles chaussures. Vous aimez vraiment vos nouvelles chaussures et c'est le premier jour que vous les avez portées.
222,hostile-attribution-scene1-instruct2,hostile-attribution,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","De repente, un chico te golpea por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro.",Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,Vous tombez dans une flaque de boue et vos nouvelles chaussures se bouillonnent.
223,hostile-attribution-scene1-q1,hostile-attribution,Do you think that the boy bumped you on purpose or by accident?,¿Crees que el chico te golpeó a propósito o por accidente?,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?",Pensez-vous que le garçon vous a caressé à dessein ou par accident?
224,hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
225,hostile-attribution-scene1-q2-ans1,hostile-attribution,clean up my shoes,limpiar mis zapatos,meine Schuhe sauber machen,nettoyer mes chaussures
226,hostile-attribution-scene1-q2-ans2,hostile-attribution,walk away from the boy,alejarme del chico,sich von dem Jungen entfernen,s'éloigner du garçon
227,hostile-attribution-scene1-q2-ans3,hostile-attribution,push the boy in the mud,empujar al chico al barro,den Jungen in den Schlamm stoßen,pousser le garçon dans la boue
228,hostile-attribution-scene2-instruct1,hostile-attribution,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto.","Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder liefern sich ein Rennen. Ein Junge steht am Rand und wirft einen Basketball.","Imaginez que vous êtes sur le terrain de jeu, vous et d'autres enfants faites une course. Un garçon est debout sur le côté, rebondissant un basket-ball."
229,hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","La prochaine chose que vous savez est que le garçon a renversé le ballon et il a roulé sous vos pieds, vous faisant tomber. Vous dépeignez votre genou et quelqu'un d'autre gagne la course."
230,hostile-attribution-scene2-q1,hostile-attribution,Do you think that the boy made you fall on purpose or by accident?,¿Crees que el chico te hizo caer a propósito o por accidente?,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestoßen hat?",Pensez-vous que le garçon vous a fait tomber à dessein ou par accident?
231,hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
232,hostile-attribution-scene2-q2-ans1,hostile-attribution,go to another area of the playground,ir a otra zona del patio de recreo,in einen anderen Bereich des Spielplatzes gehen,aller dans une autre zone du terrain de jeu
233,hostile-attribution-scene2-q2-ans2,hostile-attribution,say something mean to him,insultar al niño,etwas Gemeines zu ihm sagen,lui dire quelque chose de significatif
234,hostile-attribution-scene2-q2-ans3,hostile-attribution,take care of my knee,curar mi rodilla,mich um mein Knie kümmern,prendre soin de mon genou
235,hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk. ,Imagina que estás trabajando en una tarea en tu escritorio.,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe. ",Imaginez que vous travaillez sur une tâche à votre bureau. 
236,hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","Te levantas para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un niño que camina justo delante de ti. El niño pasa por tu escritorio antes de que tú llegues.","Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du ihn erreichst. ","Vous allez aiguiser votre crayon, et en revenant à votre bureau, un garçon marche juste devant vous. Le garçon passe votre bureau avant de vous y rendre. "
237,hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo.","Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen.","La prochaine chose que vous connaissez, le garçon a fait tomber tous vos papiers de votre bureau, et ils sont tous sur le sol."
238,hostile-attribution-scene3-q1,hostile-attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?,¿Crees que el chico tiró tus papeles al suelo a propósito o por accidente?,"Glaubst du, der Junge hat deine Papiere absichtlich oder aus Versehen auf den Boden geworfen?",Pensez-vous que le garçon a fait tomber vos papiers sur le sol à dessein ou par accident?
239,hostile-attribution-scene3-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
240,hostile-attribution-scene3-q2-ans1,hostile-attribution,call him a name,insultar al niño,ihn beleidigen,appelez lui un nom
241,hostile-attribution-scene3-q2-ans2,hostile-attribution,pick up the papers,recoger los papeles,die Papiere aufsammeln,ramasser les papiers
242,hostile-attribution-scene3-q2-ans3,hostile-attribution,do nothing,no hacer nada,nichts tun,ne rien faire
243,same-different-selection-touch-circle,same-different-selection,Choose the picture with a circle.,Choose the picture with a circle.,Choose the picture with a circle.,Choisissez l'image avec un cercle.
244,same-different-selection-touch-square,same-different-selection,Choose the picture with a square.,Choose the picture with a square.,Choose the picture with a square.,Choisissez la photo avec un carré.
245,same-different-selection-touch-triangle,same-different-selection,Choose the picture with a triangle.,Choose the picture with a triangle.,Choose the picture with a triangle.,Choisissez l'image avec un triangle.
246,same-different-selection-touch-green,same-different-selection,Choose the picture with a green shape.,Choose the picture with a green shape.,Choose the picture with a green shape.,Choisissez la photo avec une forme verte.
247,same-different-selection-touch-red,same-different-selection,Choose the picture with a red shape.,Choose the picture with a red shape.,Choose the picture with a red shape.,Choisissez l'image avec une forme rouge.
248,same-different-selection-touch-blue,same-different-selection,Choose the picture with a blue shape.,Choose the picture with a blue shape.,Choose the picture with a blue shape.,Choisissez l'image avec une forme bleue.
249,same-different-selection-touch-small,same-different-selection,Choose the picture with a small shape.,Choose the picture with a small shape.,Choose the picture with a small shape.,Choisissez la photo avec une petite forme.
250,same-different-selection-touch-medium,same-different-selection,Choose the picture with a medium-sized shape.,Choose the picture with a medium-sized shape.,Choose the picture with a medium-sized shape.,Choisissez une image de taille moyenne.
251,same-different-selection-touch-large,same-different-selection,Choose the picture with a large shape.,Choose the picture with a large shape.,Choose the picture with a large shape.,Choisissez la photo avec une grande forme.
252,same-different-selection-both-circles,same-different-selection,Here are two shapes. Something's the same. They are both circles.,Here are two shapes. Something's the same. They are both circles.,Here are two shapes. Something's the same. They are both circles.,Voici deux formes. Quelque chose est le même. Ce sont les deux cercles.
253,same-different-selection-both-squares,same-different-selection,Here are two shapes. Something's the same. They are both squares.,Here are two shapes. Something's the same. They are both squares.,Here are two shapes. Something's the same. They are both squares.,Voici deux formes. Quelque chose est le même. Ce sont deux carrés.
254,same-different-selection-both-triangles,same-different-selection,Here are two shapes. Something's the same. They are both triangles.,Here are two shapes. Something's the same. They are both triangles.,Here are two shapes. Something's the same. They are both triangles.,Voici deux formes. Quelque chose est le même. Ce sont les deux triangles.
255,same-different-selection-both-red,same-different-selection,Here are two shapes. Something's the same. They are both red.,Here are two shapes. Something's the same. They are both red.,Here are two shapes. Something's the same. They are both red.,Voici deux formes. Quelque chose est le même. Ils sont tous deux rouges.
256,same-different-selection-both-green,same-different-selection,Here are two shapes. Something's the same. They are both green.,Here are two shapes. Something's the same. They are both green.,Here are two shapes. Something's the same. They are both green.,Voici deux formes. Quelque chose est le même. Ils sont tous deux verts.
257,same-different-selection-both-blue,same-different-selection,Here are two shapes. Something's the same. They are both blue.,Here are two shapes. Something's the same. They are both blue.,Here are two shapes. Something's the same. They are both blue.,Voici deux formes. Quelque chose est le même. Ils sont tous deux bleus.
258,same-different-selection-both-small,same-different-selection,Here are two shapes. Something's the same. They are both small.,Here are two shapes. Something's the same. They are both small.,Here are two shapes. Something's the same. They are both small.,Voici deux formes. Quelque chose est pareil. Ils sont tous deux petits.
259,same-different-selection-both-medium,same-different-selection,Here are two shapes. Something's the same. They are both medium-sized.,Here are two shapes. Something's the same. They are both medium-sized.,Here are two shapes. Something's the same. They are both medium-sized.,Voici deux formes. Quelque chose est le même. Ils sont tous deux de taille moyenne.
260,same-different-selection-both-large,same-different-selection,Here are two pictures. Something's the same. They are both large.,Here are two pictures. Something's the same. They are both large.,Here are two pictures. Something's the same. They are both large.,"Voici deux images. Quelque chose de pareil, les deux sont grandes."
261,sds-prompt3,same-different-selection,Here is another picture. Which of these is the same as this one?,Here is another picture. Which of these is the same as this one?,Here is another picture. Which of these is the same as this one?,Voici une autre image. Laquelle de ces images est la même que celle-ci?
262,sds-2match-prompt1,same-different-selection,Choose two pictures that are the same.,Choose two pictures that are the same.,Choose two pictures that are the same.,Choisissez deux images qui sont les mêmes.
263,sds-2match-prompt2,same-different-selection,Choose two pictures that are the same in a different way.,Choose two pictures that are the same in a different way.,Choose two pictures that are the same in a different way.,Choisissez deux images qui sont les mêmes d'une manière différente.
264,sds-3match-prompt1,same-different-selection,Choose three pictures that are the same.,Choose three pictures that are the same.,Choose three pictures that are the same.,Choisissez trois images qui sont les mêmes.
265,sds-3match-prompt2,same-different-selection,Choose three pictures that are the same in a different way.,Choose three pictures that are the same in a different way.,Choose three pictures that are the same in a different way.,Choisissez trois images qui sont les mêmes d'une manière différente.
266,sds-3unique-prompt1,same-different-selection,Choose three pictures that are the same in only one way.,Choose three pictures that are the same in only one way.,Choose three pictures that are the same in only one way.,Choisissez trois images qui sont les mêmes d'une seule manière.
267,sds-3unique-prompt2,same-different-selection,Choose another three pictures that are the same in only one way.,Choose another three pictures that are the same in only one way.,Choose another three pictures that are the same in only one way.,Choisissez trois autres images qui sont les mêmes d'une seule manière.
268,memory-game-instruct1,memory-game,This is the memory game. Here's how you play it.,Este es el juego de la memoria. Las reglas son las siguientes.,This is the memory game. Here's how you play it.,Voici le jeu de mémoire. Voici comment vous y jouez.
269,memory-game-instruct2,memory-game,You will see squares light up.,Verás que los cuadrados se iluminan.,You will see squares light up.,Vous verrez des carrés s'illuminer.
270,memory-game-instruct3,memory-game,You're going to touch the squares in the same order.,Vas a tocar los cuadrados en el mismo orden.,You're going to touch the squares in the same order.,Vous allez toucher les carrés dans le même ordre.
271,memory-game-instruct4,memory-game,Watch carefully! Try to remember the order.,¡Observa con atención! Intenta recordar el orden.,Watch carefully! Try to remember the order.,Attention ! Essayez de mémoriser la commande.
272,memory-game-prompt1,memory-game,Time to watch!,Time to watch!,Time to watch!,Il est temps de regarder !
273,memory-game-forward-prompt,memory-game,Choose the squares in the same order.,Escoge los cuadrados en el mismo orden.,Choose the squares in the same order.,Choisissez les carrés dans le même ordre.
274,memory-game-instruct5,memory-game,This time the game won't tell you if you're right or wrong.,This time the game won't tell you if you're right or wrong.,This time the game won't tell you if you're right or wrong.,"Cette fois, le jeu ne vous dira pas si vous avez raison ou tort."
275,memory-game-instruct6,memory-game,"If you make a mistake, just keep going!","If you make a mistake, just keep going!","If you make a mistake, just keep going!","Si vous faites une erreur, continuez !"
276,memory-game-instruct7,memory-game,Let’s start playing the memory game!,¡Empecemos a jugar al juego de memoria!,Let’s start playing the memory game!,Commençons à jouer au jeu de mémoire !
277,memory-game-backward-prompt,memory-game,Choose the squares in the backward order.,Escoge los cuadrados siguiendo el orden inverso a la secuencia.,Choose the squares in the backward order.,Choisissez les carrés dans l'ordre arrière.
278,heart-instruct1,hearts-and-flowers,This is the heart game. Here's how you play it.,Este es el juego del corazón. Las reglas son las siguientes.,This is the heart game. Here's how you play it.,C'est le jeu de cœur. Voici comment tu joues.
279,heart-instruct2,hearts-and-flowers,"When you see a <b>heart</b>, press the button on the <b>same</b> side.","When you see a <b>heart</b>, press the button on the <b>same</b> side.","When you see a <b>heart</b>, press the button on the <b>same</b> side.","Quand vous voyez un <b>cœur</b>, appuyez sur le bouton du côté <b>du même</b>."
280,hearts-and-flowers-try-again,hearts-and-flowers,That's not right. Try again.,Eso no está bien. Inténtalo de nuevo.,That's not right. Try again.,Ce n'est pas correct. Réessayez.
281,heart-practice-feedback1,hearts-and-flowers,The heart is on the right side. Press the right button.,El corazón está en el lado derecho. Presiona el botón derecho.,The heart is on the right side. Press the right button.,Le cœur est sur le côté droit. Appuyez sur le bouton droit.
282,hearts-and-flowers-practice-time,hearts-and-flowers,Time to practice!,¡Es hora de practicar!,Time to practice!,Il est temps de pratiquer !
283,heart-practice-feedback2,hearts-and-flowers,"Remember! When you see a HEART, press the button on the SAME side.","¡Recuerda! Cuando veas un CORAZÓN, presiona el botón del MISMO lado.","Remember! When you see a HEART, press the button on the SAME side.","Rappelez-vous ! Quand vous voyez un Cœur, appuyez sur le bouton du côté SAME."
284,hearts-and-flowers-instruct1,hearts-and-flowers,This time the game will go faster. It won't tell you if you are right or wrong.,This time the game will go faster. It won't tell you if you are right or wrong.,This time the game will go faster. It won't tell you if you are right or wrong.,"Cette fois, le jeu va aller plus vite. Il ne vous dira pas si vous avez raison ou mal."
285,hearts-and-flowers-instruct2,hearts-and-flowers,Try to answer as fast as you can without making mistakes.,Try to answer as fast as you can without making mistakes.,Try to answer as fast as you can without making mistakes.,Essayez de répondre aussi vite que possible sans faire d'erreurs.
286,hearts-and-flowers-play-time,hearts-and-flowers,Time to play!,¡Hora de jugar!,Time to play!,Il est temps de jouer !
287,flower-instruct1,hearts-and-flowers,This is the flower game. Here's how you play.,This is the flower game. Here's how you play.,This is the flower game. Here's how you play.,Voici le jeu de fleurs. Voici comment tu joues.
288,flower-instruct2,hearts-and-flowers,"When you see a flower, press the button on the opposite side.","Cuando veas una flor, presiona el botón del lado opuesto.","When you see a flower, press the button on the opposite side.","Lorsque vous voyez une fleur, appuyez sur le bouton du côté opposé."
289,flower-practice-feedback1,hearts-and-flowers,The flower is on the left side. Press the right button.,La flor está en el lado izquierdo. Presione el botón derecho.,The flower is on the left side. Press the right button.,La fleur est sur le côté gauche. Appuyez sur le bouton droit.
290,flower-practice-feedback2,hearts-and-flowers,"When you see a FLOWER, press the button on the OPPOSITE side.","Cuando veas una FLOR, presiona el botón en el lado OPUESTO.","When you see a FLOWER, press the button on the OPPOSITE side.","Quand vous voyez un EAU, appuyez sur le bouton du côté OPPOSITE."
291,hearts-and-flowers-instruct3,hearts-and-flowers,"Now, we're going to play a game with hearts and flowers.","Ahora, vamos a jugar un juego con corazones y flores.","Now, we're going to play a game with hearts and flowers.","Maintenant, nous allons jouer à un jeu avec des cœurs et des fleurs."
292,continue-button-text,general,OK,OK,OK,Ok
293,close-button-text,general,Close,Cerrar,Close,Fermer
294,hearts-and-flowers-encourage1,hearts-and-flowers,Try to keep up!,¡Trata de seguir el ritmo!,Try to keep up!,Essayez de vous tenir au courant !
295,hearts-and-flowers-encourage2,hearts-and-flowers,"If you make a mistake, just keep going!","Si cometes un error, ¡sigue adelante!","If you make a mistake, just keep going!","Si vous faites une erreur, continuez !"
296,hearts-and-flowers-end,hearts-and-flowers,Great job! You completed the game!.,Great job! You completed the game!.,Great job! You completed the game!.,Bravo ! Vous avez terminé la partie !
297,vocab-item-001,vocab,acorn,acorn,acorn,glands
298,vocab-item-002,vocab,aloe,aloe,aloe,aloès
299,vocab-item-003,vocab,antenna,antenna,antenna,Antenne
300,vocab-item-004,vocab,artichoke,artichoke,artichoke,artichoke
301,vocab-item-005,vocab,bamboo,bamboo,bamboo,bambou
302,vocab-item-006,vocab,barrel,barrel,barrel,tonneau
303,vocab-item-007,vocab,blender,blender,blender,mélangeur
304,vocab-item-008,vocab,blower,blower,blower,blower
305,vocab-item-009,vocab,bouquet,bouquet,bouquet,bouquet
306,vocab-item-010,vocab,buffet,buffet,buffet,Buffet
307,vocab-item-011,vocab,bulldozer,bulldozer,bulldozer,bulldozer
308,vocab-item-012,vocab,cake,cake,cake,gâteau
309,vocab-item-013,vocab,caramel,caramel,caramel,caramel
310,vocab-item-014,vocab,carousel,carousel,carousel,carousel
311,vocab-item-015,vocab,carrot,carrot,carrot,carotte
312,vocab-item-016,vocab,cassette,cassette,cassette,cassette
313,vocab-item-017,vocab,cheese,cheese,cheese,fromage
314,vocab-item-018,vocab,cloak,cloak,cloak,cloak
315,vocab-item-019,vocab,clothespin,clothespin,clothespin,espin de vêtement
316,vocab-item-020,vocab,coaster,coaster,coaster,sous-verres
317,vocab-item-021,vocab,cork,cork,cork,liège
318,vocab-item-022,vocab,cornbread,cornbread,cornbread,pain de maïs
319,vocab-item-023,vocab,corset,corset,corset,corset
320,vocab-item-024,vocab,dumpling,dumpling,dumpling,bouleversement
321,vocab-item-025,vocab,elbow,elbow,elbow,coude
322,vocab-item-026,vocab,fan,fan,fan,ventilateur
323,vocab-item-027,vocab,foam,foam,foam,mousse
324,vocab-item-028,vocab,footbath,footbath,footbath,bain de pieds
325,vocab-item-029,vocab,fruitcake,fruitcake,fruitcake,gâteau aux fruits
326,vocab-item-030,vocab,gutter,gutter,gutter,gutter
327,vocab-item-031,vocab,hamster,hamster,hamster,hamster
328,vocab-item-032,vocab,hedgehog,hedgehog,hedgehog,hérisson
329,vocab-item-033,vocab,hoe,hoe,hoe,hoe
330,vocab-item-034,vocab,hopscotch,hopscotch,hopscotch,scotch de houblon
331,vocab-item-035,vocab,kimono,kimono,kimono,kimono
