item_id,english,de,es-CO,fr-CA,labels,nl
ToM-scene1-instruct2,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Aber als Laura draußen gespielt hat, hat es jemand gefunden und unter dem Teppich versteckt. ","Pero cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.","Mais quand Madison était dehors à jouer, quelqu'un l'a trouvé et l'a caché sous le tapis. ",theory-of-mind,
ToM-scene1-instruct3,So now it’s reading time and Madison wants her book.,Jetzt möchte Laura aber gern ihr Buch weiterlesen.,"Ahora, es el momento de leer y Marisol quiere su libro.","Alors maintenant, c'est l'heure de la lecture et Madison veut son livre.",theory-of-mind,
ToM-scene1-q1-false_belief,Where will Madison look first for her book?,Wo wird Laura zuerst nach ihrem Buch suchen? ,¿Dónde buscará Marisol su libro primero?,Où Madison regardera-t-elle en premier pour trouver son livre?,theory-of-mind,
ToM-scene1-q2-reality_check,And where is her book really?,Und wo ist ihr Buch wirklich?,¿Y dónde está realmente su libro?,Et où est vraiment son livre?,theory-of-mind,
ToM-scene13-instruct1,"Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.",Das ist Gabriel. Heute Nachmittag in der Schule hat Gabriel seinen Bleistift in seine Federtasche gelegt.,"Aquí está Gabriel. Esta tarde en el colegio, Gabriel guardó su lápiz en su cartuchera.","Voici Gabriel. Cet après-midi à l'école, Gabriel a mis son crayon dans sa boîte à crayons.",theory-of-mind,
ToM-scene13-instruct2,"But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.","Aber während Gabriel draußen war, hat jemand seinen Bleistift benutzt! Nachdem die Person Gabriels Bleistift benutzt hatte, legte sie ihn in einen Becher.","Pero mientras Gabriel estaba fuera, ¡alguien usó su lápiz! Después de usar el lápiz de Gabriel, la persona puso el lápiz en una canasta.","Mais pendant que Gabriel était dehors, quelqu'un a utilisé son crayon ! Après avoir utilisé le crayon de Gabriel, la personne a remis le crayon dans un panier.",theory-of-mind,
ToM-scene13-instruct3,"So now it’s time for class, and Gabriel wants his pencil.","Jetzt ist es Zeit für den Unterricht, und Gabriel sucht seinen Bleistift.",Es hora de ir a clase y Gabriel quiere su lápiz.,"Maintenant il est temps d'aller en classe, et Gabriel veut son crayon.",theory-of-mind,
ToM-scene13-q1-false_belief,Where will Gabriel look for his pencil?,Wo wird Gabriel nach seinem Bleistift suchen?,¿Dónde buscará Gabriel su lápiz?,Où Gabriel cherchera-t-il son crayon ?,theory-of-mind,
ToM-scene13-q2-reality_check,And where is his pencil really?,Und wo ist sein Bleistift wirklich?,¿Y dónde está realmente su lápiz?,Et où est vraiment son crayon ?,theory-of-mind,
ToM-scene14-instruct1,"This afternoon when he came home, Bobby put his soccer ball on the table.","Als er heute Nachmittag nach Hause kam, hat Bobby seinen Fußball auf den Tisch gelegt.","Esta tarde, cuando llegó a casa, Roberto puso su balón de fútbol sobre la mesa.","Cet après-midi en rentrant chez lui, Bobby a mis son ballon de soccer sur la table.",theory-of-mind,
ToM-scene14-instruct2,"And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","Und dann ging er nach draußen, um zu spielen, siehst du? Hier ist Bobby beim Spielen im Freien. Und während er draußen spielte, fiel Bobbys Fußball vom Tisch auf den Boden.","Y luego salió a jugar, ¿ves? Aquí está Roberto jugando fuera. Y mientras estaba fuera jugando, el balón de fútbol de Roberto se cayó de la mesa y al suelo.","Et puis il est sorti jouer, tu vois ? Voici Bobby jouant dehors. Et pendant qu'il jouait dehors, le ballon de soccer de Bobby est tombé de la table sur le sol.",theory-of-mind,
ToM-scene14-instruct3,"Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Dann kommt Bobbys Schwester Anna herein. Anna hat auch einen Fußball! Anna legt ihren Fußball auf den Tisch. Bobby ist immer noch draußen und spielt, deshalb hat er nicht gesehen, was Anna gemacht hat.","Entonces entra Anna, la hermana de Roberto. Anna también tiene un balón de fútbol. Anna pone su balón en la mesa. Roberto todavía está afuera jugando, así que no ve lo que hace Anna.","Ensuite, la sœur de Bobby, Anna, entre. Anna a aussi un ballon de soccer ! Anna met son ballon de soccer sur la table. Bobby est toujours dehors en train de jouer, donc il n'a pas vu ce qu'Anna faisait.",theory-of-mind,
ToM-scene14-q1-false_belief,"Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Wenn Bobby jetzt von draußen reinkommt, wo wird er zuerst nach seinem Fußball suchen?","Ahora, cuando Roberto vuelva de entrar, ¿dónde buscará primero su balón de fútbol?","Maintenant, quand Bobby rentre de dehors, où cherchera-t-il d'abord son ballon de soccer ?",theory-of-mind,
ToM-scene2-instruct1,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.","Ce matin, lorsqu'il est arrivé à l'école, Ethan a mis son livre sur l'étagère au-dessus des crochets à manteaux. Le livre d'Ethan est bleu. ",theory-of-mind,
ToM-scene2-instruct2,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?","Et puis il est allé jouer dehors, tu vois ? Voici Ethan en train de jouer dehors. Et pendant qu'il jouait dehors, le livre d'Ethan est tombé des crochets pour manteaux et s'est retrouvé par terre sous les manteaux, tu vois ? ",theory-of-mind,
ToM-scene2-instruct3,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.","Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.","Puis Hannah entre et met son livre sur les crochets à manteaux. Le livre d'Hannah est aussi bleu! Ethan est toujours dehors en train de jouer, il n'a donc pas vu ce qu'Hannah faisait.",theory-of-mind,
ToM-scene2-instruct4,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!","Veamos lo que Elián hace. Oh, mira, Elián está cogiendo el libro que está sobre la repisa. Y ahora Ana ve a Elián cogiendo ese libro... ¡el libro que es de Ana!","Voyons ce qu'il fait. Oh regarde, voici Ethan qui prend ce livre sur l'étagère. Et maintenant Hannah voit Ethan qui prend ce livre... le livre qui est à Hannah!",theory-of-mind,
ToM-scene2-q1-false_belief,"Now, when Ethan comes in from outside, where will he look first for his book?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?","Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?","Maintenant, quand Ethan rentrera de dehors, où cherchera-t-il d'abord son livre?",theory-of-mind,
ToM-scene2-q2-emotion_reasoning,How do you think Hannah feels about Ethan reaching for that book? ,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift? ",¿Cómo crees que se siente Ana cuando Elián coge ese libro?,Comment penses-tu qu'Hannah se sent face à Ethan qui prend ce livre ? ,theory-of-mind,
ToM-scene2-q3-false_belief,Is Ethan being mean and naughty for taking Hannah's book?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?",¿Elián está siendo malo y travieso al tomar el libro de Ana?,Ethan est-il méchant et vilain de prendre le livre de Hannah?,theory-of-mind,
ToM-scene2-q4-false_belief,Should Ethan get in trouble with the teacher for taking Hannah's book?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",¿Debería Elián estar en problemas con el maestro por tomar el libro de Ana?,Ethan devrait-il avoir des ennuis avec l'enseignant pour avoir pris le livre de Hannah?,theory-of-mind,
ToM-scene2-q5-reality_check,Can you help Hannah find her book? Is it on the shelf or under the coats?,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,Peux-tu aider Hannah à trouver son livre? Est-il sur l'étagère ou sous les manteaux?,theory-of-mind,
ToM-scene2-q6-reality_check,Can you help Ethan find his book? Is it on the shelf or under the coats?,"Kannst du Justus helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,Peux-tu aider Ethan à trouver son livre? Est-il sur l'étagère ou sous les manteaux?,theory-of-mind,
ToM-scene2-q7-emotion_reasoning,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?",¿Cómo crees que se sentiría Ana si no hubiera visto a Elián coger el libro?,Comment penses-tu qu'Hannah se sentirait si elle n'avait pas vu Ethan prendre le livre?,theory-of-mind,
ToM-scene3-instruct1,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johann, Lisa und Max spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.","Joshua, Isabel, et Ivan jouent à un jeu. Voici comment le jeu fonctionne : Un enfant se cache, mais dessine un indice dans le bac à sable pour que les autres enfants puissent le trouver. ",theory-of-mind,
ToM-scene3-instruct2,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ",Max fängt an. Er malt einen Hinweis in den Sandkasten und versteckt sich dann.,"Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.","Alors, Ivan passe en premier. Il dessine cet indice dans le bac à sable, puis il va se cacher. ",theory-of-mind,
ToM-scene3-instruct3,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.","Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Lisa und Max werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarlo.,C'est maintenant au tour de Joshua de laisser un indice et de se cacher. Isabel et Ivan essaieront alors d'utiliser l'indice pour le trouver.,theory-of-mind,
ToM-scene3-instruct4,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.","Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.","Joshua décide de se cacher derrière la fontaine. Il dessine un indice dans le sable. Il essaie de dessiner la fontaine, avec la partie inférieure et l'eau qui en sort. Mais le dessin ressemble à un arbre à la place! Puis Joshua va se cacher derrière la fontaine.",theory-of-mind,
ToM-scene3-q1,What did Joshua mean to draw?,Was wollte Johann zeichnen?,¿Qué quería dibujar Johan?,Que voulait dessiner Joshua?,theory-of-mind,
ToM-scene3-q2-false_belief,"When Isabel and Ivan see this clue, where will they look first for Joshua? ","Sobald Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? ","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?","Quand Isabel et Ivan voient cet indice, où chercheront-ils Joshua en premier ? ",theory-of-mind,
ToM-scene3-q2-reality_check,Can you help them find where Joshua really is?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",¿Puedes ayudarles a encontrar dónde está realmente Johan?,Peux-tu les aider à trouver où Joshua est vraiment?,theory-of-mind,
ToM-scene3-q3-emotion_reasoning,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Schau, Lisa und Max haben Johann gefunden und das Spiel gewonnen! Was glaubst du, wie Lisa sich fühlt, weil sie das Spiel gewonnen hat?","¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?","Regarde, Isabel et Ivan ont trouvé Joshua et ont gagné le jeu! Comment penses-tu qu'Isabel se sent d'avoir gagné le jeu?",theory-of-mind,
ToM-scene4-instruct1,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ","Jetzt sind die Spiele vorbei, und es ist Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen einsammeln. ",Ya se acabaron los juegos y es hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Maintenant les jeux sont finis, et il est presque temps de rentrer. Maman dit aux enfants de retrouver tous leurs jouets. ",theory-of-mind,
ToM-scene4-instruct2,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht mehr finden. Er sucht überall, aber er kann ihn nicht finden. ","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.","Joshua a apporté son camion-jouet au parc, mais maintenant il ne le trouve plus. Il cherche partout mais il ne peut pas le trouver. ",theory-of-mind,
ToM-scene4-instruct3,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Johann kann seinen Lastwagen nicht finden, weil Lisa vorhin, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat. ","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.","Joshua ne trouve pas son camion parce qu'au début de la journée, quand personne ne regardait, Isabel a pris le camion-jouet et l'a enterré dans le bac à sable. ",theory-of-mind,
ToM-scene4-instruct4,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Johann sucht also überall, aber er kann seinen Spielzeug-LKW nicht finden. Seine Mutter wird wütend auf Johann, weil er seinen Laster verloren hat.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Mamá se enoja con Johan porque perdió el camión.","Alors Joshua cherche partout mais il ne trouve pas son camion-jouet. Maman se fâche contre Joshua, parce qu'il a perdu son camion.",theory-of-mind,
ToM-scene4-instruct5,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Als Lisa sieht, dass Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.","Cuando Isabel se da cuenta de que Mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.","Quand Isabel voit que Maman est fâchée contre Joshua, elle va au bac à sable, déterre le camion-jouet, et le rend à Joshua.",theory-of-mind,
ToM-scene4-instruct6,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Lisa sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine große Umarmung. Johann erwidert die Umarmung, und auch Mutter schließt sich ihr an.","Isabel le pide disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y Mamá se une a ellos.","Isabel dit à Joshua qu'elle est vraiment désolée, et elle lui fait un gros câlin. Joshua lui rend un gros câlin, et Maman se joint à eux.",theory-of-mind,
ToM-scene4-q1-emotion_reasoning,How does Joshua feel about losing his truck?,Was denkt Johann über den Verlust seines Lastwagens?,¿Cómo se siente Johan por perder su camión?,Comment Joshua se sent-il après avoir perdu son camion?,theory-of-mind,
ToM-scene4-q2,Is it fair that Mother is mad at Joshua for losing his truck?,"Ist es fair, dass Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat? ",¿Es justo que Mamá se enoje con Johan por haber perdido su camión?,Est-ce juste que Maman se fâche contre Joshua parce qu'il a perdu son camion?,theory-of-mind,
ToM-scene4-q3,Is Mother mad at Isabel? ,Ist Mutter böse auf Lisa? ,¿Mamá está enojada con Isabel? ,Maman est-elle fâchée contre Isabel ? ,theory-of-mind,
ToM-scene4-q4-false_belief,Is Joshua mad at Isabel? ,Ist Johann böse auf Lisa? ,¿Johan está enojado con Isabel? ,Joshua est-il fâché contre Isabel ? ,theory-of-mind,
ToM-scene4-q5,Is Mother mad at Joshua now?,Ist Mutter jetzt böse auf Johann?,¿Ahora Mamá está enojada con Johan?,Maman est-elle encore fâchée contre Joshua maintenant?,theory-of-mind,
ToM-scene4-q6,Is Mother mad at Isabel now?,Ist Mutter jetzt böse auf Lisa?,¿Ahora Mamá está enojada con Isabel?,Maman est-elle encore fâchée contre Isabel maintenant?,theory-of-mind,
ToM-scene4-q7,Is Joshua mad at Isabel now?,Ist Johann jetzt böse auf Lisa?,¿Ahora Johan está enojado con Isabel?,Joshua est-il encore fâché contre Isabel maintenant?,theory-of-mind,
ToM-scene4-q8-emotion_reasoning,How would Joshua feel if he found his truck?,"Wie würde sich Johann fühlen, wenn er seinen Lastwagen finden würde?",¿Cómo se sentiría Johan si encontrara su camión?,Comment Joshua se sentirait-il s'il trouvait son camion?,theory-of-mind,
ToM-scene5-instruct1,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Das ist Katie. Heute früh hat die Mama von Katie das Haus geputzt, während Katie zugesehen hat. Mama hat drei Tassen in der Küche stehen lassen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgroße Tasse auf dem Tisch und eine große Tasse, die sie ganz oben auf das Regal gestellt hat. ","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto. ","Voici Katie. Plus tôt aujourd'hui, la maman de Katie nettoyait la maison pendant que Katie regardait. Maman a laissé trois tasses dans la cuisine. Il y a une petite tasse sur le comptoir, une tasse de taille moyenne sur la table, et une grande tasse qu'elle avait rangée en haut, sur l'étagère. ",theory-of-mind,
ToM-scene5-instruct2,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Katie und Vater kommen in die Küche und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die große Tasse!""","Carla y Papá acaban de entrar y Carla le pide a su papá que le de una taza. Carla le dice a su papá ""¡quiero la taza grande!"".",Katie et Papa viennent d'entrer et Katie demande à son père de lui prendre une tasse. Katie dit à son père: «Je veux la grande tasse!»,theory-of-mind,
ToM-scene5-q1,Which cup will Dad give Katie?,Welche Tasse wird Papa Katie geben?,¿Cuál taza le dará el Papá a Carla?,Quelle tasse Papa donnera-t-il à Katie?,theory-of-mind,
ToM-scene5-q2-reality_check,Which cup does Katie want?,Welche Tasse möchte Katie haben?,¿Cuál taza quiere Carla?,Quelle tasse Katie veut-elle?,theory-of-mind,
ToM-scene5-q3-emotion_reasoning,How does Katie feel about not getting the cup she wanted?,"Wie fühlt sich Katie, wenn sie nicht die Tasse bekommt, die sie wollte?",¿Cómo se siente Carla por no recibir la taza que ella quería?,Comment Katie se sent-elle de ne pas recevoir la tasse qu'elle voulait?,theory-of-mind,
ToM-scene5-q4-emotion_reasoning,How would Katie feel if she had received the cup she wanted?,"Wie würde sich Katie fühlen, wenn sie die Tasse bekommen hätte, die sie sich gewünscht hat?",¿Cómo se habría sentido Carla si recibía la taza que ella quería?,Comment Katie se sentirait-elle si elle avait reçu la tasse qu'elle voulait ?,theory-of-mind,
ToM-scene6-instruct1,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam und Maria spielen zusammen. Sie schauen nach draußen und sehen ein neues Geschäft auf der anderen Straßenseite. Maria sagt zu Sam: ""Ich werde dort neue T-shirts für uns kaufen"", und sie geht weg.","Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va.","Sam et Maria jouent ensemble. Ils regardent dehors et voient un nouveau magasin de l'autre côté de la rue. Maria dit à Sam: «Je vais acheter de nouvelles chemises pour nous là-bas», et elle s'éloigne.",theory-of-mind,
ToM-scene6-instruct2,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","Mama kommt nach Hause und erzählt Sam, dass sie gerade an dem Laden vorbeigelaufen ist. ""Verkaufen sie T-shirts?"" fragt Sam. ""Nein"", sagt Mama, ""sie verkaufen nur Schuhe"". ""Maria wird jetzt wahrscheinlich Schuhe im Laden kaufen"", sagt Sam.","<br>Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam.","Maman rentre à la maison et elle dit à Sam qu'elle vient de passer devant le magasin. «Vendent-ils des chemises?» demande Sam. «Non», dit maman, «ils vendent seulement des chaussures». «Maria va probablement maintenant acheter des chaussures au magasin», dit Sam.",theory-of-mind,
ToM-scene6-instruct3,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","Maria ist im Laden angekommen. ""Ich möchte gerne T-shirts kaufen"", sagt sie. ""Wir haben nur noch Socken"", sagt der Ladenbesitzer. Da Maria auch Socken braucht, beschließt sie, Socken zu kaufen.","María llega a la tienda y dice ""me gustaría comprar camisas."" La vendedora responde ""Sólo nos quedan medias."" Como María también necesita medias, decide comprar algunos pares.","Maria est arrivée au magasin. «Je voudrais acheter des chemises», dit-elle. «Tout ce qu'il nous reste, ce sont des chaussettes», dit le commerçant. Comme Maria a aussi besoin de chaussettes, elle décide d'en prendre.",theory-of-mind,
ToM-scene6-instruct4,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”","Auf dem Rückweg trifft Maria ihren Vater. Sie erzählt ihrem Vater: ""Ich habe gerade ein paar Socken gekauft. Ich werde sie mit meinem Bruder Sam teilen. Es ist eine Überraschung.""
""Das ist nett von dir"", sagt Papa. Dann fragt er Maria: ""Weiß Sam, was du ihm gekauft hast?""","Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. Voy a compartirlas con mi hermano Sam. Es una sorpresa"".<br>""Es muy amable de tu parte"", dice Papá. Luego le pregunta a María: ""¿Sam sabe qué le has comprado?"".","Sur le chemin du retour, Maria rencontre son père. Elle lui dit: «Je viens d'acheter des chaussettes. Je vais les partager avec mon frère Sam. C'est une surprise.»<br>«C'est gentil de ta part», dit papa. Puis il demande à Maria : «Sam sait-il ce que tu lui as acheté ?»",theory-of-mind,
ToM-scene6-instruct5,Then Dad asks: “What does Sam think they are selling at the shop?”,"Dann fragt Papa: ""Was glaubt Sam, was sie in dem Laden verkaufen?""","Entonces Papá pregunta: ""¿Qué cree Sam que venden en la tienda?"".","Puis, papa demande : « Que pense Sam qu'ils vendent au magasin ? »",theory-of-mind,
ToM-scene6-instruct6,Sam is very happy to get his new socks.,Sam freut sich sehr über seine neuen Socken.,Sam está muy feliz por recibir sus medias nuevas.,Sam est très content de recevoir ses nouvelles chaussettes.,theory-of-mind,
ToM-scene6-q1,Does Maria know that they are selling shoes in the shop?,"Weiß Maria, dass in dem Laden Schuhe verkauft werden?",<br>¿María sabe que en la tienda venden zapatos?,Maria sait-elle qu'ils vendent des chaussures dans le magasin?,theory-of-mind,
ToM-scene6-q2,Does Sam know that Maria bought some socks?,"Weiß Sam, dass Maria ein paar Socken gekauft hat?",¿Sam sabe que María ha comprado medias?,Sam sait-il que Maria a acheté des chaussettes?,theory-of-mind,
ToM-scene6-q3,What does Sam think they are selling at the shop?,"Was glaubt Sam, was sie in dem Laden verkaufen?",¿Qué cree Sam que venden en la tienda?,Que pense Sam qu'ils vendent au magasin?,theory-of-mind,
ToM-scene6-q4,What does Maria tell Dad?,Was sagt Maria zu Papa?,¿Qué le dice María a Papá?,Que dit Maria à Papa?,theory-of-mind,
ToM-scene6-q5,What does Maria tell Dad?,Was sagt Maria zu Papa?,¿Qué le dice María a Papá?,Qu'est-ce que Maria dit à Papa ?,theory-of-mind,
ToM-scene6-q6,What does Sam think they are selling at the shop?,"Was glaubt Sam, was sie in dem Laden verkaufen?",¿Qué cree Sam que venden en la tienda?,Que pense Sam qu'ils vendent à la boutique ?,theory-of-mind,
ToM-scene7-instruct1,"Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.","Das ist Diana. Als sie heute Morgen in die Schule kam, hat Diana ihr Spielzeug in diese Schublade gelegt, weil sie nicht wollte, dass es jemand findet.","Aquí está Diana. Esta mañana en el colegio, Diana ha metido su juguete en este cajón porque no quería que nadie lo encontrara.","Voici Diana. Ce matin à l'école, Diana a mis son jouet dans ce tiroir, parce qu'elle ne voulait pas que quelqu'un le trouve.",theory-of-mind,
ToM-scene7-instruct2,"But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.","Aber während Diana draußen war, hat es jemand gefunden und aus der Schublade in den Schreibtisch gelegt.","Pero mientras Diana estaba fuera, ¡alguien lo encontró! Y lo movió del cajón al escritorio.","Mais pendant que Diana était dehors, quelqu'un l'a trouvé ! Et l'a déplacé de l'intérieur du tiroir à l'intérieur du bureau.",theory-of-mind,
ToM-scene7-instruct3,So now it’s playtime and Diana wants her toy.,Nun haben die Kinder Zeit zum Spielen und Diana möchte ihr Spielzeug holen.,Así que ahora es hora de jugar y Diana quiere su juguete.,C'est donc l'heure de jouer et Diana veut son jouet.,theory-of-mind,
ToM-scene7-q1-false_belief,Where will Diana look for her toy?,Wo wird Diana nach ihrem Spielzeug suchen?,¿Dónde buscará Diana su juguete?,Où Diana va-t-elle chercher son jouet ?,theory-of-mind,
ToM-scene7-q2-reality_check,And where is her toy really?,Und wo ist ihr Spielzeug wirklich?,¿Y dónde está realmente su juguete?,Et où est vraiment son jouet ?,theory-of-mind,
