Identifier,Labels,Translation
vocab-item-119,vocab,fetch
vocab-item-120,vocab,the arcade
vocab-item-121,vocab,the artifact
vocab-item-122,vocab,aversion
vocab-item-123,vocab,the beret
vocab-item-124,vocab,applaud
vocab-item-125,vocab,timid
vocab-item-126,vocab,the camp
vocab-item-127,vocab,tumble
vocab-item-128,vocab,concentric
vocab-item-129,vocab,the confectionery
vocab-item-130,vocab,the couturier
vocab-item-131,vocab,degression
vocab-item-132,vocab,the divan
vocab-item-133,vocab,the wetland
vocab-item-134,vocab,the baywindow
vocab-item-135,vocab,the aesthete
vocab-item-136,vocab,ecstatic
vocab-item-137,vocab,rickety
vocab-item-138,vocab,gourmet
vocab-item-139,vocab,gesticulate
vocab-item-140,vocab,the facade
vocab-item-141,vocab,the slope
vocab-item-142,vocab,the habit
vocab-item-143,vocab,the intersection
vocab-item-144,vocab,the irrigation
vocab-item-145,vocab,the kazoo
vocab-item-146,vocab,chat
vocab-item-147,vocab,the colony
vocab-item-148,vocab,preserve
vocab-item-149,vocab,the awning
vocab-item-150,vocab,mammalogy
vocab-item-151,vocab,the metronome
vocab-item-152,vocab,the paleontologist
vocab-item-153,vocab,the percussion
vocab-item-154,vocab,the posterior
vocab-item-155,vocab,precarious
vocab-item-156,vocab,the arbor
vocab-item-157,vocab,resuscitation
vocab-item-158,vocab,the rosette
vocab-item-159,vocab,the saffron
vocab-item-160,vocab,mischievous
vocab-item-161,vocab,the skimmer
vocab-item-162,vocab,sedentary
vocab-item-163,vocab,the suede
vocab-item-164,vocab,the turnstile
vocab-item-165,vocab,the triad
vocab-item-166,vocab,dredging
vocab-item-167,vocab,urban
vocab-item-168,vocab,the steam
vocab-item-169,vocab,the vertebra
vocab-item-170,vocab,the bandage
vocab-instruct-1,vocab,"In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!"
vocab-practice-1,vocab,"You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!"
vocab-instruct-2,vocab,"Some words are hard, and that's okay. If you're not sure, just give your best guess!"
vocab-instruct-3,vocab,"If you need to hear the word again, press the speaker button."
shared-intro-devices,trog,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now."
shared-choose-picture-press-arrow,trog,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture."
shared-intro-replay,trog,You can press the replay button to hear things again. Try it now.
trog-instr1-matching,trog,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear."
ChildSurveyIntro,survey,"These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice."
Example1Comic,survey,Do you like to read comic books?
Example2Neat,survey,Are you neat and tidy at school?
TeacherNice,survey,Is your teacher nice to you?
TeacherLike,survey,Does your teacher like you?
TeacherListen,survey,Does your teacher listen to you?
SchoolFun,survey,Is school fun?
SchoolEnjoy,survey,Do you enjoy school?
SchoolHappy,survey,Are you happy at school?
SchoolSafe,survey,Do you feel safe at school?
ClassFriends,survey,Do you have friends in your class?
ClassHelp,survey,Do the kids in your class help you when you need it?
ClassPlay,survey,Do the kids in your class play with you?
ClassNice,survey,Are the kids in your class nice to you?
LonelySchool,survey,Do you feel lonely at school?
LearningGood,survey,Are you good at learning things in school?
SchoolGiveUp,survey,"When schoolwork is hard, do you give up right away?"
ReadingEnjoy,survey,Do you enjoy doing reading activities at school?
MathEnjoy,survey,Do you enjoy doing math activities at school?
ReadingGood,survey,Are you good at reading?
MathGood,survey,Are you good at math?
GrowthMindSmart,survey,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?
GrowthMindRead,survey,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?
GrowthMindMath,survey,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?
ChildSurveyRespoonses,survey,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time"
ToM-scene7-instruct1,,"Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it."
ToM-scene7-instruct2,,"But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk."
ToM-scene7-instruct3,,So now it’s playtime and Diana wants her toy.
ToM-scene7-q1-false_belief,,Where will Diana look for her toy?
ToM-scene7-q2-reality_check,,And where is her toy really?
ToM-scene8-instruct1,,"This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf."
ToM-scene8-instruct2,,"And then she went outside to play - see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the backpack shelf to behind the backpack shelf, see?"
ToM-scene8-instruct3,,"Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing."
ToM-scene8-q1-false_belief,,"Now, when Allie comes in from outside, where will she look first for her pencil?"
top,,On top of the backpack shelf
behind,,Behind the backpack shelf
ToM-scene-8-instruct4,,"Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!"
ToM-scene-8-q2-emotion_reasoning,,How do you think Mike feels about Allie reaching for that pencil?
ToM-scene-8-q3-emotion_reasoning,,How do you think Mike would feel if he had not seen Allie reaching for the pencil?
ToM-scene-8-q4-false_belief,,Is Allie being mean and naughty for taking Mike’s pencil?
ToM-scene-8-q5-false_belief,,Should Allie get in trouble with the teacher for taking Mike’s pencil?
ToM-scene-8-q6-reality_check,,Can you help Mike find his pencil? Is it on top of the shelf or behind the shelf?
ToM-scene-8-q7-reality_check,,Can you help Allie find her pencil? Is it on top of the shelf or behind the shelf?
ToM-scene-9-instruct1,,"This is Mark. Mark is playing a really silly game today and not saying any words all day long. Instead, Mark’s drawing pictures. Mark is at the library, deciding which book he would like to read. Mom shows Mark two books - a book about cups and a book about hills."
ToM-scene-9-instruct2,,"Mark draws a picture of a hill, to tell Mom that he wants to read the book about hills. But when Mark gives Mom the picture, she holds it upside-down, so that it looks like a cup!"
ToM-scene-9-q1-reality_check,,What did Mark mean to draw?
hill,,A hill
cup,,A cup
ToM-scene-9-q2-false_belief,,"When Mom sees the picture, what book will she give Mark? "
ToM-scene-9-q3-reality_check,,What book does Mark really want? 
hillsbook,,The book about hills
cupbook,,The book about cups
ToM-scene-9-q4-emotion_reasoning,,"Look, Mom realized her mistake and gave Mark the book he really wanted! How do you think Mark feels about getting the book he wanted?"
ToM-scene-10-instruct1,,Teacher Sarah tells all of the kids to take one storybook from the bag that she brought - there is one storybook for every kid.
ToM-scene-10-instruct2,,"Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk."
ToM-scene-10-q1-emotion_reasoning,,How does Megan feel about being the only child without a storybook?
ToM-scene-10-q2-emotion_reasoning,,How would Megan feel if she received a book?
ToM-scene-10-instruct3,,"Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” and Brian tells Teacher Sarah “No, there is no storybook left - they are all being used right now.”"
ToM-scene-10-q3-reality_check,,Is Brian lying?
ToM-scene-10-q4-reality_check,,"Is there still a storybook left, that isn’t being used right now?"
ToM-scene-10-instruct4,,"Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah - is there an extra storybook for me? And Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”"
ToM-scene-10-q5-false_belief,,Is Teacher Sarah lying?
ToM-scene-10-q6-reality_check,,"Is there still a storybook left, that isn’t being used right now?"
ToM-scene-11-instruct1,,"This is Josh. And earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf."
ToM-scene-11-instruct2,,"Josh’s mom just walked in and Josh asks his mom to get one of the toys. And Josh tells his mom, “I want the small ball!”"
ToM-scene-11-q1-reference,,Which ball will mom get for Josh?
ToM-scene-11-q2-reality_check,,Which ball does Josh want?
baseball,,The baseball
soccerball,,The soccer ball
basketball,,The basketball
ToM-scene-11-q3-emotion_reasoning,,Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?
ToM-scene-11-q4-emotion_reasoning,,How do you think Josh would feel if he had received the correct toy?
ToM-scene-12-instruct1,,"This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her green ball at recess."
ToM-scene-12-instruct2,,"Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball."
ToM-scene-12-q1-false_belief,,Which toy does Dad think Emma wants to bring to school?
ToM-scene-12-instruct3,,"Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her green ball. Dad goes to pack Emma’s bag, but can’t find her green ball in the toy box! But dad finds a purple ball in the toy box, so he packs the purple ball for Emma instead."
ToM-scene-12-q2-false_belief,,Does Emma know that Dad packed the purple ball?
ToM-scene-12-q3-false_belief,,Which ball does Emma think Dad packed?
greenball,,The green ball
redball,,The red ball
purpleball,,The purple ball
ToM-scene-12-instruct4,,"On the way to school, Dad tells Emma, “I’m so sorry - I couldn’t pack the toy that you wanted because I couldn’t find it”."
ToM-scene-12-q4-reality_check,,What toy does Emma want?
ToM-scene-12-q5-reality_check,,What toy did Dad pack for Emma?
ToM-scene-12-instruct5,,Emma is very happy to play with her ball.
