item_id,labels,en,de,nl,context,es-CO,fr-CA,de-CH,es-AR
ToM-scene2-instruct3,theory-of-mind,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.",,,,,"Dann kommt Hannah herein und legt ihr Buch oben über die Garderobenhaken. Hannahs Buch ist auch blau! Ethan ist immer noch draussen und spielt, daher hat er nicht gesehen, was Hannah gemacht hat.","Luego entró Ana y puso su libro sobre la repisa encima de los colgadores. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana."
ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?",,,,,"Wenn Ethan jetzt von draussen hereinkommt, wo wird er zuerst nach seinem Buch suchen?","Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?"
shelf,theory-of-mind,On the shelf,Oben im Regal,,,,,Oben im Regal,Sobre la repisa
coats,theory-of-mind,Under the coats,Unter den Mänteln,,,,,Unter den Mänteln,Debajo de los abrigos
ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!",,,,,"Mal sehen, was er macht. Oh, sieh mal, da ist Ethan, der nach diesem Buch oben im Regal greift. Und jetzt sieht Hannah, wie Ethan nach diesem Buch greift... dem Buch, das Hannah gehört!","Veamos lo que Elián hace. Oh, mirá, Elián está agarrando el libro que está sobre la repisa. Y ahora Ana ve a Elián agarrando ese libro... ¡el libro que es de Ana!"
ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Hannah feels about Ethan reaching for that book?,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift?",,,,,"Was denkst du, wie Hannah sich fühlt, weil Ethan nach diesem Buch greift?",¿Cómo crees que se siente Ana cuando Elián agarra ese libro?
ToM-scene2-q7-emotion_reasoning,theory-of-mind,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?",,,,,"Wie würde sich Hannah fühlen, wenn sie nicht gesehen hätte, wie Ethan nach dem Buch greift?",¿Cómo crees que se sentiría Ana si no hubiera visto a Elián agarrar el libro?
ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Hannah's book?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?",,,,,"Ist Ethan gemein und frech, weil er Hannahs Buch genommen hat?",¿Elián está siendo malo y travieso al tomar el libro de Ana?
ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Hannah's book?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",,,,,"Sollte Ethan Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",¿Debería Elián estar en problemas con la maestra por tomar el libro de Ana?
ToM-scene2-q5-reality_check,theory-of-mind,Can you help Hannah find her book? Is it on the shelf or under the coats?,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",,,,,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?
ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or under the coats?,"Kannst du Justus helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",,,,,"Kannst du Ethan helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",¿Podés ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?
ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them.","Johann, Lisa und Max spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können.",,,,,"Johann, Lisa und Max spielen ein Spiel. So geht das Spiel: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können.","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que le permita a los otros niños encontrarlo."
ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide.",Max fängt an. Er malt einen Hinweis in den Sandkasten und versteckt sich dann.,,,,,"Max fängt an. Er malt diesen Hinweis in den Sandkasten und geht dann, um sich zu verstecken.","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde."
ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.","Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Lisa und Max werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.",,,,,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen, und sich zu verstecken. Lisa und Max werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarlo.
ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.",,,,,"Johann beschliesst, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.","Johan decide esconderse detrás de la fuente. Dibuja una pista en la arena. Intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente."
ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw?,Was wollte Johann zeichnen?,,,,,Was wollte Johann zeichnen?,¿Qué quería dibujar Johan?
fountain,theory-of-mind,A fountain,Einen Springbrunnen,,,,,Ein Springbrunnen,Una fuente
tree,theory-of-mind,A tree,Einen Baum,,,,,Ein Baum,Un árbol
ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua?","Sobald Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen?",,,,,"Wenn Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen?","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?"
ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",,,,,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",¿Podés ayudarles a encontrar dónde está realmente Johan?
behind-fountain,theory-of-mind,Behind the fountain,Hinter dem Springbrunnen,,,,,Hinter dem Springbrunnen,Detrás de la fuente
behind-tree,theory-of-mind,Behind the tree,Hinter dem Baum,,,,,Hinter dem Baum,Detrás del árbol
ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Schau, Lisa und Max haben Johann gefunden und das Spiel gewonnen! Was glaubst du, wie Lisa sich fühlt, weil sie das Spiel gewonnen hat?",,,,,"Schau, Lisa und Max haben Johann gefunden und das Spiel gewonnen! Was glaubst du, wie sich Lisa fühlt, weil sie das Spiel gewonnen hat?","¡Mirá, Isabel e Iván encontraron a Johan y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?"
ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys.","Jetzt sind die Spiele vorbei, und es ist Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen einsammeln.",,,,,"Jetzt sind die Spiele vorbei, und es ist fast Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen finden.",Ya se acabaron los juegos y es hora de volver a casa. Mamá les dice a los chicos que busquen todos sus juguetes.
ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it.","Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht mehr finden. Er sucht überall, aber er kann ihn nicht finden.",,,,,"Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht finden. Er sucht überall, aber er kann ihn nicht finden.","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo."
ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?,Was denkt Johann über den Verlust seines Lastwagens?,,,,,Was denkt Johann über den Verlust seines Lastwagens?,¿Cómo se siente Johan por perder su camión?
ToM-scene4-q8-emotion_reasoning,theory-of-mind,How would Joshua feel if he found his truck?,"Wie würde sich Johann fühlen, wenn er seinen Lastwagen finden würde?",,,,,"Wie würde sich Johann fühlen, wenn er seinen Lastwagen finden würde?",¿Cómo se sentiría Johan si encontrara su camión?
ToM-scene4-instruct3,theory-of-mind,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox.","Johann kann seinen Lastwagen nicht finden, weil Lisa vorhin, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat.",,,,,"Johann kann seinen Lastwagen nicht finden, weil Lisa früher am Tag, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat.","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel agarró el camión de juguete y lo enterró en la arena."
ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Johann sucht also überall, aber er kann seinen Spielzeug-LKW nicht finden. Seine Mutter wird wütend auf Johann, weil er seinen Laster verloren hat.",,,,,"Johann sucht also überall, aber er kann seinen Spielzeug-LKW nicht finden. Seine Mutter wird wütend auf Johann, weil er seinen Laster verloren hat.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Mamá se enoja con Johan porque perdió el camión."
ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck?,"Ist es fair, dass Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat?",,,,,"Ist es fair, dass Mutter wütend auf Johann ist, weil er seinen Spielzeuglaster verloren hat?",¿Es justo que Mamá se enoje con Johan por haber perdido su camión?
ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel?,Ist Mutter böse auf Lisa?,,,,,Ist Mutter wütend auf Lisa?,¿Mamá está enojada con Isabel?
ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel?,Ist Johann böse auf Lisa?,,,,,Ist Johann wütend auf Lisa?,¿Johan está enojado con Isabel?
ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Als Lisa sieht, dass Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.",,,,,"Als Lisa sieht, dass Mutter wütend auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.","Cuando Isabel se da cuenta de que Mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan."
ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now?,Ist Mutter jetzt böse auf Johann?,,,,,Ist Mutter jetzt wütend auf Johann?,¿Ahora Mamá está enojada con Johan?
ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now?,Ist Mutter jetzt böse auf Lisa?,,,,,Ist Mutter jetzt wütend auf Lisa?,¿Ahora Mamá está enojada con Isabel?
ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now?,Ist Johann jetzt böse auf Lisa?,,,,,Ist Johann jetzt wütend auf Lisa?,¿Ahora Johan está enojado con Isabel?
ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Lisa sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine große Umarmung. Johann erwidert die Umarmung, und auch Mutter schließt sich ihr an.",,,,,"Lisa sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine grosse Umarmung. Johann erwidert die Umarmung, und auch Mutter schliesst sich ihr an.","Isabel le pide disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y Mamá se une a ellos."
ToM-scene5-instruct1,theory-of-mind,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf.","Das ist Katie. Heute früh hat die Mama von Katie das Haus geputzt, während Katie zugesehen hat. Mama hat drei Tassen in der Küche stehen lassen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgroße Tasse auf dem Tisch und eine große Tasse, die sie ganz oben auf das Regal gestellt hat.",,,,,"Das ist Katie. Heute früh hat Katies Mama das Haus geputzt, während Katie zuschaute. Mama liess drei Tassen in der Küche stehen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgrosse Tasse auf dem Tisch und eine grosse Tasse, die sie oben, auf das Regal gestellt hat.","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto."
ToM-scene5-instruct2,theory-of-mind,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Katie und Vater kommen in die Küche und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die große Tasse!""",,,,,"Katie und Vater kommen gerade herein und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die grosse Tasse!""","Carla y Papá acaban de entrar y Carla le pide a su papá que le dé una taza. Carla le dice a su papá ""¡quiero la taza grande!""."
ToM-scene5-q1,theory-of-mind,Which cup will Dad give Katie?,Welche Tasse wird Papa Katie geben?,,,,,Welche Tasse wird Papa Katie geben?,¿Qué taza le dará el Papá a Carla?
ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Katie want?,Welche Tasse möchte Katie haben?,,,,,Welche Tasse möchte Katie haben?,¿Qué taza quiere Carla?
small_cup,theory-of-mind,The small cup,Die kleine Tasse,,,,,Die kleine Tasse,La taza pequeña
medium_cup,theory-of-mind,The medium sized cup,Die mittelgroße Tasse,,,,,Die mittelgrosse Tasse,La taza mediana
large_cup,theory-of-mind,The big cup,Die große Tasse,,,,,Die grosse Tasse,La taza grande
ToM-scene5-q3-emotion_reasoning,theory-of-mind,How does Katie feel about not getting the cup she wanted?,"Wie fühlt sich Katie, wenn sie nicht die Tasse bekommt, die sie wollte?",,,,,"Wie fühlt sich Katie, wenn sie nicht die Tasse bekommt, die sie wollte?",¿Cómo se siente Carla por no recibir la taza que ella quería?
ToM-scene5-q4-emotion_reasoning,theory-of-mind,How would Katie feel if she had received the cup she wanted?,"Wie würde sich Katie fühlen, wenn sie die Tasse bekommen hätte, die sie sich gewünscht hat?",,,,,"Wie würde sich Katie fühlen, wenn sie die Tasse bekommen hätte, die sie sich gewünscht hat?",¿Cómo se hubiera sentido Carla si recibía la taza que ella quería?
ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam und Maria spielen zusammen. Sie schauen nach draußen und sehen ein neues Geschäft auf der anderen Straßenseite. Maria sagt zu Sam: ""Ich werde dort neue T-shirts für uns kaufen"", und sie geht weg.",,,,,"Sam und Maria spielen zusammen. Sie schauen nach draussen und sehen ein neues Geschäft auf der anderen Strassenseite. Maria sagt zu Sam: ""Ich werde dort neue T-shirts für uns kaufen,"" und sie geht weg.","Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va."
ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","Mama kommt nach Hause und erzählt Sam, dass sie gerade an dem Laden vorbeigelaufen ist. ""Verkaufen sie T-shirts?"" fragt Sam. ""Nein"", sagt Mama, ""sie verkaufen nur Schuhe"". ""Maria wird jetzt wahrscheinlich Schuhe im Laden kaufen"", sagt Sam.",,,,,"Mama kommt nach Hause und erzählt Sam, dass sie gerade an dem Laden vorbeigelaufen ist. ""Verkaufen sie T-shirts?"" fragt Sam. ""Nein"", sagt Mama, ""sie verkaufen nur Schuhe"". ""Maria wird jetzt wahrscheinlich Schuhe im Laden kaufen"", sagt Sam.","Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam."
ToM-scene6-q1,theory-of-mind,Does Maria know that they are selling shoes in the shop?,"Weiß Maria, dass in dem Laden Schuhe verkauft werden?",,,,,"Weiss Maria, dass in dem Laden Schuhe verkauft werden?",¿María sabe que en la tienda venden zapatos?
ToM-scene6-instruct3,theory-of-mind,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","Maria ist im Laden angekommen. ""Ich möchte gerne T-shirts kaufen"", sagt sie. ""Wir haben nur noch Socken"", sagt der Ladenbesitzer. Da Maria auch Socken braucht, beschließt sie, Socken zu kaufen.",,,,,"Maria ist im Laden angekommen. ""Ich möchte gerne T-shirts kaufen,"" sagt sie. ""Wir haben nur noch Socken,"" sagt der Ladenbesitzer. Da Maria auch Socken braucht, beschliesst sie, Socken zu kaufen.","María llega a la tienda y dice ""me gustaría comprar camisas."" La vendedora responde ""Sólo nos quedan medias."" Como María también necesita medias, decide comprar algunos pares."
ToM-scene6-q2,theory-of-mind,Does Sam know that Maria bought some socks?,"Weiß Sam, dass Maria ein paar Socken gekauft hat?",,,,,"Weiss Sam, dass Maria ein paar Socken gekauft hat?",¿Sam sabe que María ha comprado medias?
ToM-scene6-q3,theory-of-mind,What does Sam think they are selling at the shop?,"Was glaubt Sam, was sie in dem Laden verkaufen?",,,,,"Was glaubt Sam, was in dem Laden verkauft wird?",¿Qué cree Sam que venden en la tienda?
shoes,theory-of-mind,Shoes,Schuhe,,,,,Schuhe,Zapatos
socks,theory-of-mind,Socks,Socken,,,,,Socken,Medias
shirts,theory-of-mind,Shirts,T-Shirts,,,,,T-Shirts,Camisetas
ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”<br>“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”","Auf dem Rückweg trifft Maria ihren Vater. Sie erzählt ihrem Vater: ""Ich habe gerade ein paar Socken gekauft. Ich werde sie mit meinem Bruder Sam teilen. Es ist eine Überraschung.""<br>""Das ist nett von dir"", sagt Papa. Dann fragt er Maria: ""Weiß Sam, was du ihm gekauft hast?""",,,,,"Auf dem Rückweg trifft Maria ihren Vater. Sie erzählt ihrem Vater: ""Ich habe gerade ein paar Socken gekauft. Ich werde sie mit meinem Bruder Sam teilen. Es ist eine Überraschung.""<br>""Das ist nett von dir"", sagt Papa. Dann fragt er Maria: ""Weiss Sam, was du ihm gekauft hast?""","Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. Voy a compartirlas con mi hermano Sam. Es una sorpresa"".<br>""Es muy amable de tu parte"", dice Papá. Luego le pregunta a María: ""¿Sam sabe qué le has comprado?"""
ToM-scene6-q4,theory-of-mind,What does Maria tell Dad?,Was sagt Maria zu Papa?,,,,,Was sagt Maria zu Papa?,¿Qué le dice María a Papá?
ToM-scene6-instruct5,theory-of-mind,Then Dad asks: “What does Sam think they are selling at the shop?”,"Dann fragt Papa: ""Was glaubt Sam, was sie in dem Laden verkaufen?""",,,,,"Dann fragt Papa: ""Was glaubt Sam, was sie in dem Laden verkaufen?""","Entonces Papá pregunta: ""¿Qué cree Sam que venden en la tienda?""."
ToM-scene6-q5,theory-of-mind,What does Maria tell Dad?,Was sagt Maria zu Papa?,,,,,Was sagt Maria zu Papa?,¿Qué le dice María a Papá?
ToM-scene6-q6,theory-of-mind,What does Sam think they are selling at the shop?,"Was glaubt Sam, was sie in dem Laden verkaufen?",,,,,"Was glaubt Sam, was in dem Laden verkauft wird?",¿Qué cree Sam que venden en la tienda?
ToM-scene6-instruct6,theory-of-mind,Sam is very happy to get his new socks.,Sam freut sich sehr über seine neuen Socken.,,,,,Sam freut sich sehr über seine neuen Socken.,Sam está muy feliz por recibir sus medias nuevas.
hostile-attribution-scene1-instruct1,hostile-attribution,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst.",,,,,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst.",Imaginá que vas camino a la escuela y llevás puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usás.
hostile-attribution-scene1-instruct2,hostile-attribution,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,,,,,Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,"De repente, un chico te choca por detrás. Tropiezas y caés en un charco de barro y tus zapatos nuevos se ensucian de barro"
hostile-attribution-scene1-q1,hostile-attribution,Do you think that the boy bumped you on purpose or by accident?,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?",,,,,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?",¿Creés que el chico te golpeó a propósito o por accidente?
hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,,,,,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,Ahora escogé cuál de estas tres opciones harías vos:
hostile-attribution-scene1-q2-ans1,hostile-attribution,clean up my shoes,meine Schuhe sauber machen,,,,,meine Schuhe sauber machen,limpiar mis zapatos
hostile-attribution-scene1-q2-ans2,hostile-attribution,walk away from the boy,sich von dem Jungen entfernen,,,,,sich von dem Jungen entfernen,alejarme del chico
hostile-attribution-scene1-q2-ans3,hostile-attribution,push the boy in the mud,den Jungen in den Schlamm stoßen,,,,,den Jungen in den Schlamm stossen,empujar al chico al barro
hostile-attribution-scene2-instruct1,hostile-attribution,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder rennen um die Wette. Ein Junge steht am Rand und spielt mit einem Basketball.",,,,,"Stell dir vor, du bist auf dem Spielplatz. Du und einige andere Kinder rennen um die Wette. Ein Junge steht am Rand und spielt mit einem Basketball.","Imaginá que estás en el patio de recreo. Vos y otros chicos están haciendo una carrera. Un chico está parado a un lado, haciendo rebotar una pelota de básquet."
hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.",Dann rollt der Ball von dem Jungen unter deine Füße und du fällst hin. Du schürfst dir das Knie auf und ein anderer gewinnt das Rennen.,,,,,Dann rollt der Ball von dem Jungen unter deine Füße und du fällst hin. Du schürfst dir das Knie auf und ein anderer gewinnt das Rennen.,"De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspás la rodilla, y alguien más ganó la carrera."
hostile-attribution-scene2-q1,hostile-attribution,Do you think that the boy made you fall on purpose or by accident?,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestoßen hat?",,,,,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestossen hat?",¿Creés que el chico te hizo caer a propósito o por accidente?
hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,,,,,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,Ahora elegí cuál de estas tres opciones harías vos:
hostile-attribution-scene2-q2-ans1,hostile-attribution,go to another area of the playground,in einen anderen Bereich des Spielplatzes gehen,,,,,in einen anderen Bereich des Spielplatzes gehen,ir a otra zona del patio de recreo
hostile-attribution-scene2-q2-ans2,hostile-attribution,say something mean to him,etwas Gemeines zu ihm sagen,,,,,etwas Gemeines zu ihm sagen,insultar al chico
hostile-attribution-scene2-q2-ans3,hostile-attribution,take care of my knee,Mein Knie verarzten.,,,,,Mein Knie verarzten.,curar mi rodilla
hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk.,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe.",,,,,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe.",Imaginá que estás trabajando en una tarea en tu escritorio.
hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there.","Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du selbst dort bist.",,,,,"Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du selbst dort bist.","Te levantás para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un chico que camina justo delante de vos. El chico pasa por tu escritorio antes de que llegués."
hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen.",,,,,"Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen.","De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo."
