old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_15_elements_1_elements_5_choices_0_text,pages_14_elements_1_elements_5_choices_0_text,Once a day or more often,Once a day or more often,missing key,Once a day or more often,missing key,Once a day or more often,Einmal am Tag oder öfter,Einmal am Tag oder öfter,missing key,missing key,Una vez al día o más a menudo,missing key,missing key,Una vez al día o más a menudo
pages_15_elements_1_elements_5_choices_1_text,pages_14_elements_1_elements_5_choices_1_text,At least four times a week,At least four times a week,missing key,At least four times a week,missing key,At least four times a week,Mindestens viermal in der Woche,Mindestens viermal in der Woche,missing key,missing key,Al menos cuatro veces a la semana,missing key,missing key,Al menos cuatro veces a la semana
pages_18_elements_0_columns_2_text,pages_14_elements_1_elements_5_choices_2_text,Once a week,Once a week,missing key,Once a week,missing key,Once a week,Einmal in der Woche,Einmal pro Woche,missing key,missing key,Una vez a la semana,missing key,missing key,Una vez a la semana
pages_18_elements_0_columns_1_text,pages_14_elements_1_elements_5_choices_3_text,Once a month,Once a month,missing key,Once a month,missing key,Once a month,Einmal im Monat,Einmal im Monat,missing key,missing key,Una vez al mes,missing key,missing key,Una vez al mes
pages_15_elements_1_elements_5_choices_4_text,pages_14_elements_1_elements_5_choices_4_text,A few times a year or less,A few times a year or less,missing key,A few times a year or less,missing key,A few times a year or less,Einige Male im Jahr oder weniger,Einige Male im Jahr oder weniger,missing key,missing key,Varias veces al año o menos,missing key,missing key,Algunas veces o menos al año
pages_5_elements_3_choices_0_text,pages_14_elements_1_elements_5_choices_5_text,Never,Never,missing key,Never,missing key,Never,Nie,Nie,missing key,missing key,Nunca,missing key,missing key,Nada de influencia
pages_15_elements_1_elements_5_title,pages_14_elements_1_elements_5_title,How often does your child spend time with you or another adult in your home doing outdoor activities?,How often does your child spend time with you or another adult in your home doing outdoor activities?,missing key,How often does your child spend time with you or another adult in your home doing outdoor activities?,missing key,How often does your child spend time with you or another adult in your home doing outdoor activities?,Wie oft verbringt Ihr Kind mit Ihnen oder einem anderen Erwachsenen zu Hause Zeit mit Aktivitäten im Freien?,Wie oft verbringt Ihr Kind mit Ihnen oder einem anderen Erwachsenen zu Hause Zeit mit Aktivitäten im Freien?,missing key,missing key,¿Con qué frecuencia pasa su niño(a) tiempo con usted u otro adulto de su casa haciendo actividades al aire libre?,missing key,missing key,¿Con qué frecuencia pasa su niño(a) tiempo con usted u otro adulto de su casa haciendo actividades al aire libre?
pages_1_elements_11_choices_3_text,pages_14_elements_1_elements_6_choices_0_text,Every day,Every day,missing key,Every day,missing key,Every day,Jeden Tag,Täglich,missing key,missing key,Todos los días,missing key,missing key,Todos los días
pages_15_elements_1_elements_6_choices_1_text,pages_14_elements_1_elements_6_choices_1_text,About 3 times a week,About 3 times a week,missing key,About 3 times a week,missing key,About 3 times a week,Etwa 3 Mal pro Woche,Etwa 3 Mal pro Woche,missing key,missing key,Unas 3 veces a la semana,missing key,missing key,Unas 3 veces a la semana
pages_18_elements_0_columns_2_text,pages_14_elements_1_elements_6_choices_2_text,Once a week,Once a week,missing key,Once a week,missing key,Once a week,Einmal in der Woche,Einmal pro Woche,missing key,missing key,Una vez a la semana,missing key,missing key,Una vez a la semana
pages_15_elements_1_elements_6_choices_3_text,pages_14_elements_1_elements_6_choices_3_text,Several times a month,Several times a month,missing key,Several times a month,missing key,Several times a month,Mehrmals im Monat,Mehrmals im Monat,missing key,missing key,Varias veces al mes,missing key,missing key,Varias veces al mes
pages_15_elements_1_elements_6_choices_4_text,pages_14_elements_1_elements_6_choices_4_text,Several times a year,Several times a year,missing key,Several times a year,missing key,Several times a year,Mehrmals im Jahr,Mehrmals im Jahr,missing key,missing key,Varias veces al año,missing key,missing key,Varias veces al año
pages_5_elements_3_choices_0_text,pages_14_elements_1_elements_6_choices_5_text,Never,Never,missing key,Never,missing key,Never,Nie,Nie,missing key,missing key,Nunca,missing key,missing key,Nada de influencia
pages_15_elements_1_elements_6_title,pages_14_elements_1_elements_6_title,How often do you or another adult in your home get a chance to read stories to your child?,How often do you or another adult in your home get a chance to read stories to your child?,missing key,How often do you or another adult in your home get a chance to read stories to your child?,missing key,How often do you or another adult in your home get a chance to read stories to your child?,"Wie oft haben Sie oder ein anderer Erwachsener in Ihrem Haushalt die Gelegenheit, Ihrem Kind Geschichten vorzulesen?","Wie oft haben Sie oder ein anderer Erwachsener in Ihrem Haushalt die Gelegenheit, Ihrem Kind Geschichten vorzulesen?",missing key,missing key,¿Con qué frecuencia tiene usted u otro adulto de su hogar la oportunidad de leer cuentos a su niño(a)?,missing key,missing key,¿Con qué frecuencia tiene usted u otro adulto de su hogar la oportunidad de leer cuentos a su niño(a)?
pages_6_elements_0_labelFalse,pages_14_elements_1_elements_7_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_14_elements_1_elements_7_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_15_elements_1_elements_8_title,pages_14_elements_1_elements_7_title,Does your child have access to a tablet or smartphone that they regularly use to watch videos or listen to music?,Does your child have access to a tablet or smartphone that they regularly use to watch videos or listen to music?,missing key,Does your child have access to a tablet or smartphone that they regularly use to watch videos or listen to music?,missing key,Does your child have access to a tablet or smartphone that they regularly use to watch videos or listen to music?,"Hat Ihr Kind ein Tablet oder Smartphone, das es regelmäßig benutzt, um Videos anzusehen oder Musik zu hören?","Hat Ihr Kind ein Tablet oder Smartphone, das es regelmäßig benutzt,Hat Ihr Kind ein Tablet oder Smartphone",missing key,missing key,¿Su niño(a) utiliza habitualmente una tableta o un teléfono inteligente para ver videos o escuchar música?,missing key,missing key,¿Su niño(a) utiliza habitualmente una tableta o un teléfono inteligente para ver videos o escuchar música?
pages_6_elements_0_labelFalse,pages_14_elements_1_elements_8_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_14_elements_1_elements_8_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_15_elements_1_elements_9_title,pages_14_elements_1_elements_8_title,Does your family have a computer that your child has access to?,Does your family have a computer that your child has access to?,missing key,Does your family have a computer that your child has access to?,missing key,Does your family have a computer that your child has access to?,"Verfügt Ihre Familie über einen Computer, zu dem Ihr Kind Zugang hat?","Verfügt Ihre Familie über einen Computer, zu dem Ihr Kind Zugang hat?",missing key,missing key,¿Tiene su familia una computadora a la que tenga acceso su niño(a)?,missing key,missing key,¿Tiene su familia una computadora a la que tenga acceso su niño(a)?
pages_16_elements_0_elements_0_choices_0_text,pages_15_elements_0_elements_0_choices_0_text,Almost always,Almost always,missing key,Almost always,missing key,Almost always,Fast immer,Fast immer,missing key,missing key,Casi siempre,missing key,missing key,Casi siempre
pages_16_elements_0_elements_0_choices_1_text,pages_15_elements_0_elements_0_choices_1_text,More than half the time,More than half the time,missing key,More than half the time,missing key,More than half the time,Mehr als die Hälfte der Zeit,Mehr als die Hälfte der Zeit,missing key,missing key,Más de la mitad del tiempo,missing key,missing key,Más de la mitad del tiempo
pages_16_elements_0_elements_0_choices_2_text,pages_15_elements_0_elements_0_choices_2_text,Half the time,Half the time,missing key,Half the time,missing key,Half the time,Die Hälfte der Zeit,Die Hälfte der Zeit,missing key,missing key,La mitad del tiempo,missing key,missing key,La mitad de las veces
pages_16_elements_0_elements_0_choices_3_text,pages_15_elements_0_elements_0_choices_3_text,Less than half the time,Less than half the time,missing key,Less than half the time,missing key,Less than half the time,Weniger als die Hälfte der Zeit,Weniger als die Hälfte der Zeit,missing key,missing key,Menos de la mitad del tiempo,missing key,missing key,Menos de la mitad del tiempo
pages_16_elements_0_elements_0_choices_4_text,pages_15_elements_0_elements_0_choices_4_text,Almost never,Almost never,missing key,Almost never,missing key,Almost never,Fast nie,Fast nie,missing key,missing key,Casi nunca,missing key,missing key,Casi nunca
pages_16_elements_0_elements_2_title,pages_15_elements_0_elements_0_title,How often is your child expected to pick up after him/herself ?,How often is your child expected to pick up after him/herself ?,missing key,How often is your child expected to pick up after him/herself ?,missing key,How often is your child expected to pick up after him/herself ?,"Wie oft wird von Ihrem Kind erwartet, dass es hinter sich selbst aufräumt?","Wie oft wird von Ihrem Kind erwartet, dass es hinter sich selbst aufräumt?",missing key,missing key,¿Con qué frecuencia debe recoger lo que ensucia?,missing key,missing key,¿Con qué frecuencia debe recoger lo que ensucia?
pages_1_elements_11_choices_3_text,pages_15_elements_0_elements_1_choices_0_text,Every day,Every day,missing key,Every day,missing key,Every day,Jeden Tag,Täglich,missing key,missing key,Todos los días,missing key,missing key,Todos los días
pages_15_elements_1_elements_1_choices_2_text,pages_15_elements_0_elements_1_choices_1_text,Several times a week,Several times a week,missing key,Several times a week,missing key,Several times a week,Mehrmals pro Woche,Mehrmals in der Woche,missing key,missing key,Varias veces a la semana,missing key,missing key,Varias veces a la semana
pages_15_elements_1_elements_6_choices_3_text,pages_15_elements_0_elements_1_choices_2_text,Several times a month,Several times a month,missing key,Several times a month,missing key,Several times a month,Mehrmals im Monat,Mehrmals im Monat,missing key,missing key,Varias veces al mes,missing key,missing key,Varias veces al mes
pages_15_elements_1_elements_6_choices_4_text,pages_15_elements_0_elements_1_choices_3_text,Several times a year,Several times a year,missing key,Several times a year,missing key,Several times a year,Mehrmals im Jahr,Mehrmals im Jahr,missing key,missing key,Varias veces al año,missing key,missing key,Varias veces al año
pages_5_elements_3_choices_0_text,pages_15_elements_0_elements_1_choices_4_text,Never,Never,missing key,Never,missing key,Never,Nie,Nie,missing key,missing key,Nunca,missing key,missing key,Nada de influencia
pages_16_elements_0_elements_4_title,pages_15_elements_0_elements_1_title,How often does your child read for enjoyment?,How often does your child read for enjoyment?,missing key,How often does your child read for enjoyment?,missing key,How often does your child read for enjoyment?,Wie oft liest Ihr Kind zum Vergnügen?,Wie oft liest Ihr Kind zum Vergnügen?,missing key,missing key,¿Con qué frecuencia lee su niño(a) por gusto?,missing key,missing key,¿Con qué frecuencia lee su niño(a) por gusto?
pages_6_elements_0_labelFalse,pages_15_elements_0_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_15_elements_0_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_16_elements_0_elements_5_title,pages_15_elements_0_elements_2_title,Does your family encourage your child to start and keep doing hobbies?,Does your family encourage your child to start and keep doing hobbies?,missing key,Does your family encourage your child to start and keep doing hobbies?,missing key,Does your family encourage your child to start and keep doing hobbies?,"Ermutigt Ihre Familie Ihr Kind, ein Hobby anzufangen und fortzuführen?","Ermutigt Ihre Familie Ihr Kind, ein Hobby anzufangen und fortzuführen?",missing key,missing key,¿Su familia anima a su niño(a) a iniciar y tener unos pasatiempos?,missing key,missing key,¿Su familia anima a su niño(a) a iniciar y tener unos pasatiempos?
pages_6_elements_0_labelFalse,pages_15_elements_0_elements_3_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_15_elements_0_elements_3_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_16_elements_0_elements_6_title,pages_15_elements_0_elements_3_title,"Does your child get special lessons or belong to any organization that encourages activities such as sports, music, art, dance, drama, etc.?","Does your child get special lessons or belong to any organization that encourages activities such as sports, music, art, dance, drama, etc.?",missing key,"Does your child get special lessons or belong to any organization that encourages activities such as sports, music, art, dance, drama, etc.?",missing key,"Does your child get special lessons or belong to any organization that encourages activities such as sports, music, art, dance, drama, etc.?","Bekommt Ihr Kind speziellen Unterricht oder gehört es einer Organisation an, die Aktivitäten wie Sport, Musik, Kunst, Tanz, Theater usw. fördert?","Bekommt Ihr Kind speziellen Unterricht oder gehört es einer Organisation an, die Aktivitäten wie Sport, Kunst, Kunst, Tanz, Theater usw. fördert?",missing key,missing key,"¿Su niño(a) recibe lecciones especiales o pertenece a alguna organización que fomente actividades como el deporte, la música, el arte, la danza, el teatro, etc.?",missing key,missing key,"¿Su niño(a) recibe lecciones especiales o pertenece a alguna organización que fomente actividades como el deporte, la música, el arte, la danza, el teatro, etc.?"
pages_16_elements_0_elements_0_choices_0_text,pages_15_elements_0_elements_4_choices_0_text,Almost always,Almost always,missing key,Almost always,missing key,Almost always,Fast immer,Fast immer,missing key,missing key,Casi siempre,missing key,missing key,Casi siempre
pages_16_elements_0_elements_0_choices_1_text,pages_15_elements_0_elements_4_choices_1_text,More than half the time,More than half the time,missing key,More than half the time,missing key,More than half the time,Mehr als die Hälfte der Zeit,Mehr als die Hälfte der Zeit,missing key,missing key,Más de la mitad del tiempo,missing key,missing key,Más de la mitad de las veces
pages_16_elements_0_elements_0_choices_2_text,pages_15_elements_0_elements_4_choices_2_text,Half the time,Half the time,missing key,Half the time,missing key,Half the time,Die Hälfte der Zeit,Die Hälfte der Zeit,missing key,missing key,La mitad del tiempo,missing key,missing key,La mitad de las veces
pages_16_elements_0_elements_0_choices_3_text,pages_15_elements_0_elements_4_choices_3_text,Less than half the time,Less than half the time,missing key,Less than half the time,missing key,Less than half the time,Weniger als die Hälfte der Zeit,Weniger als die Hälfte der Zeit,missing key,missing key,Menos de la mitad del tiempo,missing key,missing key,Menos de la mitad del tiempo
pages_16_elements_0_elements_0_choices_4_text,pages_15_elements_0_elements_4_choices_4_text,Almost never,Almost never,missing key,Almost never,missing key,Almost never,Fast nie,Fast nie,missing key,missing key,Casi nunca,missing key,missing key,Casi nunca
pages_16_elements_0_elements_11_title,pages_15_elements_0_elements_4_title,How often is your child expected to help with keeping shared living areas neat and clean?,How often is your child expected to help with keeping shared living areas neat and clean?,missing key,How often is your child expected to help with keeping shared living areas neat and clean?,missing key,How often is your child expected to help with keeping shared living areas neat and clean?,"Wie oft wird von Ihrem Kind erwartet, dass es bei der Ordnung und Sauberkeit der gemeinsamen Wohnbereiche hilft?","Wie oft wird von Ihrem Kind erwartet, dass es bei der Ordnung und Sauberkeit der gemeinsamen Wohnbereiche hilft?",missing key,missing key,¿Con qué frecuencia se espera que su niño(a) ayude a mantener ordenadas y limpias las áreas comunes?,missing key,missing key,¿Con qué frecuencia se espera que su niño(a) ayude a mantener ordenadas y limpias las áreas comunes?
pages_16_elements_0_elements_0_choices_0_text,pages_15_elements_0_elements_5_choices_0_text,Almost always,Almost always,missing key,Almost always,missing key,Almost always,Fast immer,Fast immer,missing key,missing key,Casi siempre,missing key,missing key,Casi siempre
pages_16_elements_0_elements_0_choices_1_text,pages_15_elements_0_elements_5_choices_1_text,More than half the time,More than half the time,missing key,More than half the time,missing key,More than half the time,Mehr als die Hälfte der Zeit,Mehr als die Hälfte der Zeit,missing key,missing key,Más de la mitad del tiempo,missing key,missing key,Más de la mitad de las veces
pages_16_elements_0_elements_0_choices_2_text,pages_15_elements_0_elements_5_choices_2_text,Half the time,Half the time,missing key,Half the time,missing key,Half the time,Die Hälfte der Zeit,Die Hälfte der Zeit,missing key,missing key,La mitad del tiempo,missing key,missing key,La mitad del tiempo
pages_16_elements_0_elements_0_choices_3_text,pages_15_elements_0_elements_5_choices_3_text,Less than half the time,Less than half the time,missing key,Less than half the time,missing key,Less than half the time,Weniger als die Hälfte der Zeit,Weniger als die Hälfte der Zeit,missing key,missing key,Menos de la mitad del tiempo,missing key,missing key,Menos de la mitad de las veces
pages_16_elements_0_elements_0_choices_4_text,pages_15_elements_0_elements_5_choices_4_text,Almost never,Almost never,missing key,Almost never,missing key,Almost never,Fast nie,Fast nie,missing key,missing key,Casi nunca,missing key,missing key,Casi nunca
pages_16_elements_0_elements_13_title,pages_15_elements_0_elements_5_title,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?","How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?",missing key,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?",missing key,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?","Wie oft wird von Ihrem Kind erwartet, dass es seine Zeit selbst einteilt (pünktlich aufstehen, für die Schule bereit sein usw.)","Wie oft wird von Ihrem Kind erwartet, dass es seine Zeit selbst einteilt (pünktlich aufstehen,Wie oft wird von Ihrem Kind erwartet",missing key,missing key,"¿Con qué frecuencia se espera que su niño(a) administre su tiempo por sí mismo(a)  (levantarse a la hora, prepararse para ir al colegio, etc.)?",missing key,missing key,"¿Con qué frecuencia se espera que su niño(a) administre su tiempo por sí mismo(a)  (levantarse a la hora, prepararse para ir al colegio, etc.)?"
pages_16_elements_0_elements_0_choices_0_text,pages_15_elements_0_elements_6_choices_0_text,Almost always,Almost always,missing key,Almost always,missing key,Almost always,Fast immer,Fast immer,missing key,missing key,Casi siempre,missing key,missing key,Casi siempre
pages_16_elements_0_elements_0_choices_1_text,pages_15_elements_0_elements_6_choices_1_text,More than half the time,More than half the time,missing key,More than half the time,missing key,More than half the time,Mehr als die Hälfte der Zeit,Mehr als die Hälfte der Zeit,missing key,missing key,Más de la mitad del tiempo,missing key,missing key,Más de la mitad de las veces
pages_16_elements_0_elements_0_choices_2_text,pages_15_elements_0_elements_6_choices_2_text,Half the time,Half the time,missing key,Half the time,missing key,Half the time,Die Hälfte der Zeit,Die Hälfte der Zeit,missing key,missing key,La mitad del tiempo,missing key,missing key,La mitad del tiempo
pages_16_elements_0_elements_0_choices_3_text,pages_15_elements_0_elements_6_choices_3_text,Less than half the time,Less than half the time,missing key,Less than half the time,missing key,Less than half the time,Weniger als die Hälfte der Zeit,Weniger als die Hälfte der Zeit,missing key,missing key,Menos de la mitad del tiempo,missing key,missing key,Menos de la mitad de las veces
pages_16_elements_0_elements_0_choices_4_text,pages_15_elements_0_elements_6_choices_4_text,Almost never,Almost never,missing key,Almost never,missing key,Almost never,Fast nie,Fast nie,missing key,missing key,Casi nunca,missing key,missing key,Casi nunca
,pages_15_elements_0_elements_6_title,missing key,How often is your child expected to care for younger family members when you and other adults are not available?,missing key,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?",missing key,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?",missing key,"Wie oft wird von Ihrem Kind erwartet, dass es seine Zeit selbst einteilt (pünktlich aufstehen,Wie oft wird von Ihrem Kind erwartet",missing key,missing key,missing key,missing key,missing key,¿Con qué frecuencia se espera que su niño(a) cuide a los miembros más pequeños de la familia cuando usted y otros adultos no están disponibles?
pages_5_elements_3_choices_0_text,pages_16_elements_0_columns_0_text,Never,Never,missing key,Never,missing key,Never,Nie,Nie,missing key,missing key,Nunca,missing key,missing key,Nada de influencia
pages_5_elements_3_choices_1_text,pages_16_elements_0_columns_1_text,Rarely,Rarely,missing key,Rarely,missing key,Rarely,Selten,Selten,missing key,missing key,Rara vez,missing key,missing key,Rara vez
pages_5_elements_3_choices_2_text,pages_16_elements_0_columns_2_text,Sometimes,Sometimes,missing key,Sometimes,missing key,Sometimes,Manchmal,Manchmal,missing key,missing key,A veces,missing key,missing key,A veces
pages_17_elements_0_columns_3_text,pages_16_elements_0_columns_3_text,Usually,Usually,missing key,Usually,missing key,Usually,Gewöhnlich,Gewöhnlich,missing key,missing key,Usualmente,missing key,missing key,Usualmente
pages_5_elements_3_choices_4_text,pages_16_elements_0_columns_4_text,Always,Always,missing key,Always,missing key,Always,Immer,Immer,missing key,missing key,Siempre,missing key,missing key,Siempre
pages_17_elements_0_rows_0_text,pages_16_elements_0_rows_0_text,that your child is much harder to care for than most children their age?,that your child is much harder to care for than most children their age?,missing key,that your child is much harder to care for than most children their age?,missing key,that your child is much harder to care for than most children their age?,"dass es viel schwieriger ist, sich um Ihr Kind zu kümmern als um andere Kinder seines Alters?","dass es viel schwieriger ist, sich um Ihr Kind zu kümmern als um andere Kinder seines Alters?",missing key,missing key,que su niño(a) es mucho más difícil de cuidar que la mayoría de los niños(as) de su edad?,missing key,missing key,que su niño(a) es mucho más difícil de cuidar que la mayoría de los niños(as) de su edad?
pages_17_elements_0_rows_1_text,pages_16_elements_0_rows_1_text,that your child does things that really bother you a lot?,that your child does things that really bother you a lot?,missing key,that your child does things that really bother you a lot?,missing key,that your child does things that really bother you a lot?,"dass Ihr Kind Dinge tut, die Sie wirklich sehr stören?","dass Ihr Kind Dinge tut, die Sie wirklich sehr stören?",missing key,missing key,que su niño(a) hace cosas que le molestan mucho?,missing key,missing key,que su niño(a) hace cosas que le molestan mucho?
pages_17_elements_0_rows_2_text,pages_16_elements_0_rows_2_text,angry with your child?,angry with your child?,missing key,angry with your child?,missing key,angry with your child?,wütend auf Ihr Kind zu sein?,wütend auf Ihr Kind zu sein?,missing key,missing key,rabia hacia su niño(a)?,missing key,missing key,rabia hacia su niño(a)?
,pages_16_elements_0_title,missing key,"<b>DURING THE PAST MONTH</b>, how often have you felt...",missing key,missing key,missing key,missing key,missing key,<b>WIE OFT HATTEN SIE IM LETZTEN MONAT</b> das Gefühl...,missing key,missing key,missing key,missing key,missing key,"DURANTE <b>EL ÚLTIMO MES</b>, ¿con qué frecuencia ha sentido..."
pages_12_elements_1_columns_0_text,pages_16_elements_1_columns_0_text,Never or almost never,Never or almost never,missing key,Never or almost never,missing key,Never or almost never,Nie oder fast nie,Nie oder fast nie,missing key,missing key,Nunca o casi nunca,missing key,missing key,Nunca o casi nunca
pages_18_elements_0_columns_1_text,pages_16_elements_1_columns_1_text,Once a month,Once a month,missing key,Once a month,missing key,Once a month,Einmal im Monat,Einmal im Monat,missing key,missing key,Una vez al mes,missing key,missing key,Una vez al mes
pages_18_elements_0_columns_2_text,pages_16_elements_1_columns_2_text,Once a week,Once a week,missing key,Once a week,missing key,Once a week,Einmal in der Woche,Einmal pro Woche,missing key,missing key,Una vez a la semana,missing key,missing key,Una vez a la semana
pages_1_elements_11_choices_3_text,pages_16_elements_1_columns_3_text,Every day,Every day,missing key,Every day,missing key,Every day,Jeden Tag,Täglich,missing key,missing key,Todos los días,missing key,missing key,Todos los días
pages_18_elements_0_rows_0_text,pages_16_elements_1_rows_0_text,I see to it that my child knows exactly what (s)he may or may not do.,I see to it that my child knows exactly what (s)he may or may not do.,missing key,I see to it that my child knows exactly what (s)he may or may not do.,missing key,I see to it that my child knows exactly what (s)he may or may not do.,"Ich sorge dafür, dass mein Kind genau weiß, was es tun darf und was nicht.","Ich sorge dafür, dass mein Kind genau weiß,Ich sorge dafür",missing key,missing key,Me cercioro de que mi niño(a) sepa exactamente lo que puede o no puede hacer.,missing key,missing key,Me cercioro de que mi niño(a) sepa exactamente lo que puede o no puede hacer.
pages_18_elements_0_rows_1_text,pages_16_elements_1_rows_1_text,I always tell my child how (s)he should behave.,I always tell my child how (s)he should behave.,missing key,I always tell my child how (s)he should behave.,missing key,I always tell my child how (s)he should behave.,"Ich sage meinem Kind immer, wie es sich verhalten soll.","Ich sage meinem Kind immer, wie es sich verhalten soll.",missing key,missing key,Siempre le digo cómo él(ella) debe comportarse.,missing key,missing key,Siempre le digo cómo él(ella) debe comportarse.
pages_18_elements_0_rows_2_text,pages_16_elements_1_rows_2_text,I insist that my child do exactly as (s)he is told.,I insist that my child do exactly as (s)he is told.,missing key,I insist that my child do exactly as (s)he is told.,missing key,I insist that my child do exactly as (s)he is told.,"Ich bestehe darauf, dass mein Kind genau das tut, was ihm/ihr gesagt wird.","Ich bestehe darauf, dass mein Kind genau das tut,Ich bestehe darauf",missing key,missing key,Insisto en que mi niño(a) haga exactamente lo que se le dice.,missing key,missing key,Insisto en que mi niño(a) haga exactamente lo que se le dice.
pages_18_elements_0_rows_3_text,pages_16_elements_1_rows_3_text,I make my child feel wanted and needed.,I make my child feel wanted and needed.,missing key,I make my child feel wanted and needed.,missing key,I make my child feel wanted and needed.,"Ich gebe meinem Kind das Gefühl, gewollt und gebraucht zu werden.","Ich gebe meinem Kind das Gefühl, gewollt und gebraucht zu werden.",missing key,missing key,Hago que mi niño(a) se sienta querido y necesitado.,missing key,missing key,Hago que mi niño(a) se sienta querido y necesitado.
pages_18_elements_0_rows_5_text,pages_16_elements_1_rows_4_text,I make my child feel what (s)he does is important.,I make my child feel what (s)he does is important.,missing key,I make my child feel what (s)he does is important.,missing key,I make my child feel what (s)he does is important.,"Ich gebe meinem Kind das Gefühl, dass das, was es tut, wichtig ist.","Ich gebe meinem Kind das Gefühl, dass das, was es tut, wichtig ist.",missing key,missing key,Hago que mi niño(a) sienta que lo que hace es importante.,missing key,missing key,Hago que mi niño(a) sienta que lo que hace es importante.
pages_18_elements_0_rows_6_text,pages_16_elements_1_rows_5_text,I care about what my child thinks and encourage her/him to talk about it.,I care about what my child thinks and encourage her/him to talk about it.,missing key,I care about what my child thinks and encourage her/him to talk about it.,missing key,I care about what my child thinks and encourage her/him to talk about it.,"Es ist mir wichtig, was mein Kind denkt, und ich ermutige es, darüber zu sprechen.","Es ist mir wichtig, was mein Kind denkt, und ich ermutige es, darüber zu sprechen.",missing key,missing key,Me preocupo por lo que piensa mi niño(a) y le animo a hablar de ello.,missing key,missing key,Me preocupo por lo que piensa mi niño(a) y le animo a hablar de ello.
pages_18_elements_0_title,pages_16_elements_1_title,"These statements describe ways different caregivers act toward their children. Please think about how well each statement describes the way you treat your child. Respond as to whether you do each item ""almost never"", ""once a month"", ""once a week"", ""every day"".","These statements describe ways different caregivers act toward their children. Please think about how well each statement describes the way you treat your child. Respond as to whether you do each item ""almost never"", ""once a month"", ""once a week"", ""every day"".",missing key,"These statements describe ways different caregivers act toward their children. Please think about how well each statement describes the way you treat your child. Respond as to whether you do each item ""almost never"", ""once a month"", ""once a week"", ""every day"".",missing key,"These statements describe ways different caregivers act toward their children. Please think about how well each statement describes the way you treat your child. Respond as to whether you do each item ""almost never"", ""once a month"", ""once a week"", ""every day"".","Diese Aussagen beschreiben, wie sich verschiedene Betreuungspersonen gegenüber ihren Kindern verhalten. Bitte denken Sie darüber nach, wie gut jede Aussage die Art und Weise beschreibt, wie Sie Ihr Kind behandeln. Geben Sie an, ob Sie jeden Punkt fast jeden Tag, einmal pro Woche, einmal im Monat oder fast nie tun.","Diese Aussagen beschreiben, wie sich verschiedene Betreuungspersonen gegenüber ihren Kindern verhalten. Bitte denken Sie darüber nach, wie gut jede Aussage die Art und Weise beschreibt, wie Sie Ihr Kind behandeln. Geben Sie an, ob Sie jeden Punkt fast jeden Tag, einmal pro Woche, einmal im Monat oder fast nie tun.",missing key,missing key,"Las siguientes afirmaciones describen la forma en que diferentes padres actúan con sus hijos(as). Piense si cada afirmación describe la forma en que usted trata a su niño(a). Responda con qué frecuencia actúa de esa forma: Nunca o casi nunca, Una vez al mes, Una vez a la semana, Todos los días.",missing key,missing key,"Las siguientes afirmaciones describen la forma en que diferentes padres actúan con sus hijos(as). Piense si cada afirmación describe la forma en que usted trata a su niño(a). Responda con qué frecuencia actúa de esa forma: Nunca o casi nunca, Una vez al mes, Una vez a la semana, Todos los días."
pages_6_elements_0_labelFalse,pages_16_elements_2_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_16_elements_2_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
