item_id,task,en-US,es-AR,es-CO,de-DE,ar-IL,en-GB,eo-UY,he-IL,nl-NL,pt-BR
ToM-scene-12-instruct4,theory-of-mind,"On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","De camino a la escuela, el papá le dice a Emma ""Lo siento mucho, no pude poner el juguete que querías porque no lo encontré"".","De camino al colegio, el papá le dice a Emma ""Lo siento mucho, no pude empacar el juguete que querías porque no lo encontré"".","Auf dem Weg zur Schule sagt Papa zu Emma: „Es tut mir so leid, ich konnte das Spielzeug, das du dir gewünscht hast, nicht einpacken, weil ich es nicht finden konnte“.",NO APPROVED TRANSLATION,,"Survoje al lernejo, patro diras al Emma, “Mi estas tiel bedaŭrinda, mi ne povis spaki la ludilon, kiun vi volis, ĉar mi ne povis trovi ĝin.”",NO APPROVED TRANSLATION,"Op weg naar school zegt papa tegen Emma: ""Het spijt me zo, maar ik kon het speelgoed dat je wilde niet inpakken, omdat ik het niet kon vinden.""",
ToM-scene-12-instruct5,theory-of-mind,Emma is very happy to play with her ball.,Emma está muy feliz de jugar con su pelota.,Emma está muy feliz de jugar con su pelota.,"Emma ist sehr glücklich, mit ihrem Ball zu spielen.",NO APPROVED TRANSLATION,,Emma estas tre feliĉa por ludi kun sia pilko.,NO APPROVED TRANSLATION,Emma speelt graag met haar bal.,
ToM-scene-12-q1-false_belief,theory-of-mind,Which toy does Dad think Emma wants to bring to school?,¿Cuál juguete cree el papá que Emma quiere llevar a la escuela?,¿Cuál juguete cree el papá que Emma quiere llevar a la escuela?,"Was glaubt Papa, welches Spielzeug Emma mit in die Schule nehmen möchte?",NO APPROVED TRANSLATION,,"Kiun ludilon patro pensas, ke Emma volas kunporti al lernejo?",NO APPROVED TRANSLATION,Welk speelgoed wil Emma volgens papa mee naar school nemen?,
ToM-scene-12-q2-false_belief,theory-of-mind,Does Emma know that Dad packed the blue ball?,¿Emma sabe que su papá puso la pelota azul?,¿Emma sabe que su papá empacó la pelota azul?,"Weiß Emma, dass Papa den blauen Ball eingepackt hat?",NO APPROVED TRANSLATION,,"Ĉu Emma scias, ke patro spakis la bluan pilkon?",NO APPROVED TRANSLATION,Weet Emma dat papa de blauwe bal heeft ingepakt?,
ToM-scene-12-q3-false_belief,theory-of-mind,Which ball does Emma think Dad packed?,¿Cuál pelota cree Emma que puso su papá?,¿Cuál pelota cree Emma que empacó su papá?,"Welchen Ball, glaubt Emma, hat Papa eingepackt?",NO APPROVED TRANSLATION,,"Kiun pilkon Emma pensas, ke patro spakis?",NO APPROVED TRANSLATION,Welke bal denkt Emma dat papa heeft ingepakt?,
ToM-scene-12-q4-reality_check,theory-of-mind,What toy does Emma want?,¿Cuál juguete quiere Emma?,¿Cuál juguete quiere Emma?,Welches Spielzeug wünscht sich Emma?,NO APPROVED TRANSLATION,,Kiun ludilon Emma volas?,NO APPROVED TRANSLATION,Welk speelgoed wil Emma?,
ToM-scene-12-q5-reality_check,theory-of-mind,What toy did Dad pack for Emma?,¿Cuál juguete le puso el papá?,¿Cuál juguete le ha empacado el papá?,Welches Spielzeug hat Papa für Emma eingepackt?,NO APPROVED TRANSLATION,,Kian ludilon Paĉjo enmetis en la sakon de Emma?,NO APPROVED TRANSLATION,Welk speelgoed heeft papa voor Emma ingepakt?,
ToM-scene-14-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Veamos lo que hace. Oh, mirá, aquí está Roberto agarrando la pelota de fútbol que está en la mesa. Y ahora Anna ve a Roberto buscando la pelota... ¡la pelota que es de Anna!","Veamos lo que hace. Oh, mira, aquí está Roberto cogiendo el balón de fútbol que está en la mesa. Y ahora Anna ve a Roberto buscando el balón... ¡el balón que es de Anna!","Schauen wir mal, was er macht. Oh, sieh mal, hier ist Bobby, der nach dem Fußball auf dem Tisch greift. Und jetzt sieht Anna, wie Bobby nach dem Fußball greift ... dem Fußball, der Anna gehört!",NO APPROVED TRANSLATION,,"Ni vidu, kion li faros. Ho rigardu, jen estas Bobby etendanta la manon al la futbalpilko sur la tablo. Kaj nun Anna vidas Bobbyn etendi la manon al tiu futbalpilko... la futbalpilko kiu estas de Anna!",NO APPROVED TRANSLATION,"Laten we eens kijken wat hij doet. Oh kijk, hier is Bobby die de voetbal wil pakken die op tafel ligt. En nu ziet Anna dat Bobby die voetbal wil pakken... de voetbal die van Anna is!",
ToM-scene-14-q2-emotion_reasoning,theory-of-mind,How do you think Anna feels about Bobby reaching for that soccer ball?,¿Cómo creés que se siente Anna cuando Roberto agarra esa pelota?,¿Cómo crees que se siente Anna cuando Roberto coge ese balón?,"Was denkst du, wie Anna sich fühlt, wenn Bobby nach dem Fußball greift?",NO APPROVED TRANSLATION,,"Kiel vi pensas ke Anna sentas pri tio, ke Bobby etendas la manon al tiu futbalpilko?",NO APPROVED TRANSLATION,Hoe denk je dat Anna zich voelt over dat Bobby de voetbal pakt?,
ToM-scene-14-q3-emotion_reasoning,theory-of-mind,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,¿Cómo creés que se sentiría Anna si no hubiera visto a Roberto intentando agarrar la pelota?,¿Cómo crees que se sentiría Anna si no hubiera visto a Roberto intentando coger el balón?,"Was denkst du, wie Anna sich fühlen würde, wenn sie nicht gesehen hätte, wie Bobby nach dem Fußball gegriffen hat?",NO APPROVED TRANSLATION,,Kiel vi pensas ke Anna sentus se ŝi ne vidintus Bobbyn etendanta la manon al la futbalpilko?,NO APPROVED TRANSLATION,Hoe denk je dat Anna zich zou voelen als ze niet had gezien dat Bobby de voetbal pakte?,
ToM-scene-14-q4-false_belief,theory-of-mind,Is Bobby being mean and naughty for taking Anna’s soccer ball?,¿Roberto está siendo malo y travieso por agarrar la pelota de fútbol de Anna?,¿Roberto está siendo necio y travieso por coger el balón de fútbol de Anna?,"Ist Bobby gemein und frech, weil er Annas Fußball genommen hat?",NO APPROVED TRANSLATION,,Ĉu Bobby estas malica kaj petola por preni la futbalpilkon de Anna?,NO APPROVED TRANSLATION,Is Bobby gemeen en ondeugend omdat hij Anna's voetbal heeft gepakt?,
ToM-scene-14-q5-false_belief,theory-of-mind,Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,¿Debería Roberto estar en problemas con su madre por agarrar la pelota de fútbol de Anna?,¿Debería Roberto estar en problemas con su madre por coger el balón de fútbol de Anna?,"Sollte Bobby Ärger mit seiner Mutter bekommen, weil er Annas Fußball genommen hat?",NO APPROVED TRANSLATION,,Ĉu Bobby devus ricevi problemon kun la patrino por preni la futbalon de Anna?,NO APPROVED TRANSLATION,Moet Bobby op zijn kop krijgen van hun moeder omdat hij Anna's voetbal heeft gepakt?,
ToM-scene-14-q6-reality_check,theory-of-mind,Can you help Anna find her soccer ball? Is it on the table or on the floor?,¿Podés ayudarla a Anna a encontrar su pelota de fútbol? ¿Está sobre la mesa o en el suelo?,¿Puedes ayudarle a Anna a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,"Kannst du Anna helfen, ihren Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",NO APPROVED TRANSLATION,,Ĉu vi povas helpi Annan trovi ŝian futbalon? Ĉu ĝi estas sur la tablo aŭ sur la planko?,NO APPROVED TRANSLATION,Kun jij Anna helpen haar voetbal te vinden? Ligt hij op tafel of op de grond?,
ToM-scene-14-q7-reality_check,theory-of-mind,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,¿Podés ayudarlo a Roberto a encontrar su pelota de fútbol? ¿Está sobre la mesa o en el suelo?,¿Puedes ayudarle a Roberto a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,"Kannst du Bobby helfen, seinen Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",NO APPROVED TRANSLATION,,Ĉu vi povas helpi Bobby trovi lian futbalon? Ĉu ĝi estas sur la tablo aŭ sur la planko?,NO APPROVED TRANSLATION,Kun jij Bobby helpen zijn voetbal te vinden? Ligt hij op tafel of op de grond?,
ToM-scene-15-instruct1,theory-of-mind,"Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them.","Alex, Isabel y Juancito están jugando un juego en el parque. En este juego uno de los niños se esconde, pero antes de esconderse, debe dibujar una pista en el arenero para que los otros puedan encontrarlo.","Alex, Isabel y John están jugando un juego en el parque. En este juego uno de los niños se esconde, pero antes de esconderse, debe dibujar una pista en la arenera para que los otros puedan encontrarle.","Robin, Sina und Tobias spielen ein Spiel im Park. Das Spiel läuft folgendermaßen ab: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können.",NO APPROVED TRANSLATION,,"Jen Aleksandro, Svetlana, kaj Johano. Ili ludas ludon en la parko. Jen kiel la ludo funkcias: Unu infano kaŝiĝas, sed desegnas indicon en la sablujo tiel ke la aliaj infanoj povu trovi ilin.",NO APPROVED TRANSLATION,"Alex, Brenda en Jan spelen een spelletje in het park. Zo gaat het spelletje: Eén kind verstopt zich, maar tekent een aanwijzing in de zandbak zodat de andere kinderen haar of hem kunnen vinden.",
ToM-scene-15-instruct2,theory-of-mind,"Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","Juancito decide esconderse detrás de una planta con flores. Él dibuja una pista en la arena. Pero aunque Juancito quiere dibujar la planta con flores, ¡su dibujo parece una roca! Al terminar su dibujo, Juancito se va a esconder detrás de la planta con flores.","John decide esconderse detrás de una planta con flores. Él dibuja una pista en la arena. Pero aunque John quiere dibujar la planta con flores, ¡su dibujo parece una roca! Al terminar su dibujo, John se va a esconder detrás de la planta con flores.","Tobias beschließt, sich hinter den Blumensträuchern zu verstecken. Er malt einen Hinweis in den Sand. Tobias will den Strauch zeichnen, aber die Zeichnung sieht stattdessen wie ein Stein aus! Dann versteckt sich Tobias hinter den Blumensträuchern.",NO APPROVED TRANSLATION,,"Johano decidas kaŝiĝi post la florarbusto. Li desegnas indicon en la sablo. Johano intencas desegni la florarbuŝon, sed la desegno anstataŭe aspektas kiel roko! Tiam Johano iras kaŝiĝi malantaŭ la florarbusto.",NO APPROVED TRANSLATION,"Jan besluit zich achter de bloemenstruik te verstoppen. Hij tekent een aanwijzing in het zand. Jan wil de bloemenstruik tekenen, maar de tekening lijkt in plaats daarvan op een rots! Dan gaat Jan zich achter de bloemenstruik verstoppen.",
ToM-scene-15-q1-reality_check,theory-of-mind,What did Johnny mean to draw?,¿Qué quería dibujar Juancito?,¿Qué quería dibujar John?,Was wollte Tobias zeichnen?,NO APPROVED TRANSLATION,,Kion Johano intencis desegni?,NO APPROVED TRANSLATION,Wat wilde Jan tekenen?,
ToM-scene-15-q2-false_belief,theory-of-mind,"When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","Cuando Alex e Isabel vean esta pista, ¿dónde buscarán primero a Juancito? ¿Detrás de la planta con flores o detrás de la roca?","Cuando Alex e Isabel vean esta pista, ¿dónde buscarán primero a John? ¿Detrás de la planta con flores o detrás de la roca?","Wenn Robin und Sina diesen Hinweis sehen, wo werden sie zuerst nach Tobias suchen? Hinter dem Blumenstrauch oder hinter dem Felsen?",NO APPROVED TRANSLATION,,"Kiam Alekso kaj Beth vidas ĉi tiun indicon, kie ili unue serĉos Johanon? Malantaŭ la florarbusto aŭ malantaŭ la roko?",NO APPROVED TRANSLATION,"Als Alex en Brenda deze aanwijzing zien, waar zullen ze dan als eerste naar Jan zoeken? Achter de bloemenstruik of achter de rots?",
ToM-scene-15-q3-reality_check,theory-of-mind,Can you help them find where Johnny really is?,¿Podés ayudarlos a encontrar dónde se esconde Juancito realmente?,¿Puedes ayudarles a encontrar dónde se esconde John realmente?,"Kannst du ihnen helfen, herauszufinden, wo Tobias wirklich ist?",NO APPROVED TRANSLATION,,Ĉu vi povas helpi ilin trovi kie Johano vere estas?,NO APPROVED TRANSLATION,Kun jij ze helpen vinden waar Jan echt is?,
ToM-scene-15-q4-emotion_reasoning,theory-of-mind,"Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Mirá, Alex e Isabel encontraron a Juancito y ganaron el juego. ¿Cómo creés que se sienten Alex e Isabel por ganar el juego?","Mira, Alex e Isabel encontraron a John y ganaron el juego. ¿Cómo crees que se sienten Alex e Isabel por ganar el juego?","Schau, Robin und Sina haben Tobias gefunden und das Spiel gewonnen! Was denkst du, wie Robin und Sina sich fühlen, weil sie das Spiel gewonnen haben?",NO APPROVED TRANSLATION,,"Rigardu, Aleksandro kaj Beth trovis Johanon kaj gajnis la ludon! Kiel vi opinias, kiel Alekso kaj Beth sentas sin gajnante la ludon?",NO APPROVED TRANSLATION,"Kijk, Alex en Brenda vonden Jan en wonnen het spel! Hoe denk je dat Alex en Brenda zich voelen over het winnen van het spel?",
ToM-scene-16-instruct1,theory-of-mind,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,El papá les dice a Jaime y a Sofía que se preparen para ir a la escuela. El papá les dice que se pongan los zapatos.,El papá les dice a Jaime y a Sofía que se preparen para ir al colegio. El papá les dice que se pongan los zapatos.,"Papa sagt Jakob und Sophie, sie sollen sich für die Schule fertig machen. Papa sagt ihnen, dass sie ihre Schuhe anziehen sollen.",NO APPROVED TRANSLATION,,Paĉjo diras al Jakobo kaj Sofio prepariĝi por lernejo. Paĉjo diras al ili surmeti siajn ŝuojn.,NO APPROVED TRANSLATION,Papa zegt tegen Jakob en Sophie dat ze zich klaar moeten maken voor school. Papa zegt dat ze hun schoenen aan moeten trekken.,
ToM-scene-16-instruct2,theory-of-mind,Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,"Sofía no encuentra uno de sus zapatos. Lo está buscando por todas partes, pero no lo encuentra.","Sofía no encuentra uno de sus zapatos. Lo está buscando por todas partes, pero no lo encuentra.","Sophie kann einen ihrer Schuhe nicht finden! Sie sucht überall, aber sie kann ihn nicht finden.",NO APPROVED TRANSLATION,,Sofio ne povas trovi unu el ŝiaj ŝuoj! Ŝi serĉas ĉie sed ne povas trovi ĝin.,NO APPROVED TRANSLATION,"Sophie kan een van haar schoenen niet vinden! Ze zoekt overal, maar ze kan hem niet vinden.",
ToM-scene-16-instruct3,theory-of-mind,"Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sofía no encuentra su zapato porque Jaime, por hacerle una broma, se lo escondió en la caja de juguetes hace un rato cuando nadie estaba mirando.","Sofía no encuentra su zapato porque Jaime, por hacerle una broma, se lo escondió en la caja de juguetes hace un rato cuando nadie estaba mirando.","Sophie kann ihren Schuh nicht finden, denn früher am Tag, als niemand hinsah, hat Jakob Sophie einen Streich gespielt und ihren Schuh in der Spielzeugkiste versteckt.",NO APPROVED TRANSLATION,,"Sophie ne povas trovi sian ŝuon ĉar pli frue en la tago, kiam neniu rigardis, James ludadis ŝerco kun Sophie kaj kaŝis ŝian ŝuon en la ludlujo.",NO APPROVED TRANSLATION,"Sophie kan haar schoen niet vinden, want eerder die dag, toen niemand keek, wilde Jakob een streek uithalen op Sophie en heeft haar schoen in de speelgoeddoos verstopt.",
ToM-scene-16-instruct4,theory-of-mind,"So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","Entonces Sofía está buscando su zapato por todas partes, pero no lo encuentra. Ahora el papá se ha enojado con Sofía porque perdió su zapato y van tarde para la escuela.","Entonces Sofía está buscando su zapato por todas partes, pero no lo encuentra. Ahora el papá se ha enfadado con Sofía porque perdió su zapato y van tarde para el colegio.","Sophie sucht also überall, aber sie kann ihren Schuh nicht finden. Papa wird wütend auf Sophie, weil sie ihren Schuh verloren hat und sie nun zu spät zur Schule kommen.",NO APPROVED TRANSLATION,,"Do Sophie serĉas ĉie kaj ŝi ne povas trovi sian ŝuon. Paĉjo koleras kontraŭ Sophie, ĉar ŝi perdis sian ŝuon kaj nun ili malfruas por la lernejo.",NO APPROVED TRANSLATION,"Dus Sophie zoekt overal en ze kan haar schoen niet vinden. Papa wordt boos op Sophie, omdat ze haar schoen kwijt is en nu komen ze te laat op school.",
ToM-scene-16-instruct5,theory-of-mind,"When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","Cuando Jaime ve que papá está enojado con Sofía, va a la caja de juguetes, agarra el zapato y se lo devuelve a Sofía.","Cuando Jaime ve que papá está enfadado con Sofía, va a la caja de juguetes, coge el zapato y se lo devuelve a Sofía.","Als Jakob sieht, dass Papa sauer auf Sophie ist, geht er zur Spielzeugkiste, holt den Schuh und gibt ihn Sophie zurück.",NO APPROVED TRANSLATION,,"Kiam James vidas, ke Paĉjo koleras kontraŭ Sophie, li iras al la ludlujo, prenas la ŝuon, kaj donas ĝin reen al Sophie.",NO APPROVED TRANSLATION,"Als Jakob ziet dat papa boos is op Sophie, loopt hij naar de speelgoeddoos, pakt de schoen en geeft hem terug aan Sophie.",
ToM-scene-16-instruct6,theory-of-mind,"James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","Jaime le pide perdón a Sofía, y Sofía y el papá perdonan a Jaime. Todos se abrazan.","Jaime le pide perdón a Sofía, y Sofía y el papá perdonan a Jaime. Todos se abrazan.","Jakob sagt Sophie, dass es ihm sehr leid tut, und Sophie und Papa nehmen die Entschuldigung an. Sie umarmen sich alle.",NO APPROVED TRANSLATION,,"James diras al Sophie, ke li tre bedaŭras, kaj Sophie kaj Paĉjo pardonas al James. Ili ĉiuj brakumas sin.",NO APPROVED TRANSLATION,"Jakob zegt tegen Sophie dat het hem heel erg spijt, en Sophie en papa vergeven Jakob. Ze omhelzen elkaar.",
ToM-scene-16-q1-emotion_reasoning,theory-of-mind,How does Sophie feel about losing her shoe?,¿Cómo se siente Sofía por perder su zapato?,¿Cómo se siente Sofía por perder su zapato?,"Wie fühlt sich Sophie, weil sie ihren Schuh verloren hat?",NO APPROVED TRANSLATION,,Kiel Sofio sentos pri tio ke ŝi perdis sian ŝuon?,NO APPROVED TRANSLATION,Hoe voelt Sophie zich over dat ze haar schoen kwijt is?,
ToM-scene-16-q2-emotion_reasoning,theory-of-mind,How would Sophie feel if she found her shoe?,¿Cómo se sentiría Sofía si encontrara su zapato?,¿Cómo se sentiría Sofía si encontrara su zapato?,"Wie würde sich Sophie fühlen, wenn sie ihren Schuh finden würde?",NO APPROVED TRANSLATION,,Kiel Sofio sentus sin se ŝi trovus ŝian ŝuon?,NO APPROVED TRANSLATION,Hoe zou Sophie zich voelen als ze haar schoen zou vinden?,
ToM-scene-16-q3-false_belief,theory-of-mind,Is it fair that Dad is mad at Sophie for losing her shoe?,¿Es justo que papá se enoje con Sofía por haber perdido su zapato?,¿Es justo que papá se enfade con Sofía por haber perdido su zapato?,"Ist es fair, dass Papa sauer auf Sophie ist, weil sie ihren Schuh verloren hat?",NO APPROVED TRANSLATION,,"Ĉu justas, ke Paĉjo koleras kontraŭ Sophie pro perdo de sia ŝuo?",NO APPROVED TRANSLATION,Is het eerlijk dat papa boos is op Sophie omdat ze haar schoen kwijt is?,
ToM-scene-16-q4-reference,theory-of-mind,Is Dad mad at James?,¿Está el papá enojado con Jaime?,¿Está el papá enfadado con Jaime?,Ist Papa böse auf Jakob?,NO APPROVED TRANSLATION,,Ĉu Paĉjo estas kolera kontraŭ James?,NO APPROVED TRANSLATION,Is papa boos op Jakob?,
ToM-scene-16-q5-reference,theory-of-mind,Is Sophie mad at James?,¿Está Sofía enojada con Jaime?,¿Está Sofía enfadada con Jaime?,Ist Sophie böse auf Jakob?,NO APPROVED TRANSLATION,,Ĉu Sophie estas kolera kontraŭ James?,NO APPROVED TRANSLATION,Is Sophie boos op Jakob?,
ToM-scene-16-q6-reference,theory-of-mind,Is Dad mad at Sophie now?,¿Está el papá enojado con Sofía ahora?,¿Está el papá enfadado con Sofía ahora?,Ist Papa jetzt sauer auf Sophie?,NO APPROVED TRANSLATION,,Ĉu Paĉjo estas kolera kontraŭ Sophie nun?,NO APPROVED TRANSLATION,Is papa nu boos op Sophie?,
ToM-scene-16-q7-reference,theory-of-mind,Is Dad mad at James now?,¿Está el papá enojado con Jaime ahora?,¿Está el papá enfadado con Jaime ahora?,Ist Papa jetzt sauer auf Jakob?,NO APPROVED TRANSLATION,,Ĉu Paĉjo estas kolera kontraŭ James nun?,NO APPROVED TRANSLATION,Is papa nu boos op Jakob?,
ToM-scene-16-q8-reference,theory-of-mind,Is Sophie mad at James now?,¿Está Sofía enojada con Jaime ahora?,¿Está Sofía enfadada con Jaime ahora?,Ist Sophie jetzt sauer auf Jakob?,NO APPROVED TRANSLATION,,Ĉu Sophie estas kolera kontraŭ James nun?,NO APPROVED TRANSLATION,Is Sophie nu boos op Jakob?,
ToM-scene-17-instruct1,theory-of-mind,"This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","Esta es Melisa. La madre de Melisa tiene una librería y Melisa a veces la ayuda. Hace un rato, Melisa estaba organizando unos libros en las mesas y biblioteca. Melisa puso una torre muy grande de libros azules en el escritorio, una torre mediana de libros rojos en la mesa y una torre pequeña de libros amarillos en la biblioteca.","Esta es Melisa. La madre de Melisa tiene una librería y Melisa a veces la ayuda. Hace un rato, Melisa estaba organizando unos libros en las mesas y biblioteca. Melisa puso una torre muy grande de libros azules en el escritorio, una torre mediana de libros rojos en la mesa y una torre pequeña de libros amarillos en la biblioteca.","Das ist Mika. Mikas Mutter hat eine Buchhandlung, und manchmal hilft Mika dort mit. Heute hat Mika die Bücher auf Tischen und Regalen sortiert. Mika hat einen sehr großen Stapel blauer Bücher auf den Schreibtisch gelegt, einen mittelgroßen Stapel roter Bücher auf den Tisch und einen kleinen Stapel gelber Bücher ins Regal.",NO APPROVED TRANSLATION,,"Ĉi tio estas Mika. La patrino de Mika posedas librovendejon, kaj foje Mika helpas. Pli frue hodiaŭ, Mika organizis librojn sur tabloj kaj bretoj. Mika metis tre grandan stakon da bluaj libroj sur la skribotablon, mezan stakon da ruĝaj libroj sur la tablon, kaj malgrandan stakon da flavaj libroj sur la breton.",NO APPROVED TRANSLATION,"Dit is Mika. Mika's moeder heeft een boekwinkel en soms helpt Mika mee. Eerder vandaag was Mika bezig met het ordenen van boeken op tafels en planken. Mika zette een hele grote stapel blauwe boeken op het bureau, een middelgrote stapel rode boeken op de tafel en een kleine stapel gele boeken op de plank.",
ToM-scene-17-instruct2,theory-of-mind,"Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","La madre de Melisa acaba de entrar. La madre le pide a Melisa uno de los libros. Melisa recuerda dónde está ese libro y le dice a su mamá: ""¡El libro está en la torre pequeña!"".","La madre de Melisa acaba de entrar. La madre le pide a Melisa uno de los libros. Melisa recuerda dónde está ese libro y le dice a su mamá: ""¡El libro está en la torre pequeña!"".","Mikas Mutter kommt gerade herein. Mama fragt Mika nach einem der Bücher. Mika erinnert sich, wo das Buch ist, und sagt zu Mama: „Das Buch ist in dem kleinen Stapel!“",NO APPROVED TRANSLATION,,"La patrino de Mika ĵus eniris. Patrino petas Mika pri unu el la libroj. Mika memoras kie la libro estas, kaj diras al patrino, “La libro estas en la malgranda stako!”",NO APPROVED TRANSLATION,"Mika's moeder komt net binnen. Moeder vraagt Mika om één van de boeken. Mika weet waar het boek is en zegt tegen moeder: ""Het boek is in de kleine stapel!""",
ToM-scene-17-q1-reference,theory-of-mind,Which stack of books will mom look in?,¿En cuál torre de libros va a buscar la mamá?,¿En cuál torre de libros va a buscar la mamá?,In welchem Bücherstapel wird Mama nachsehen?,NO APPROVED TRANSLATION,,En kiu stako de libroj patrino rigardos?,NO APPROVED TRANSLATION,In welke stapel boeken zal mama kijken?,
ToM-scene-17-q2-reality_check,theory-of-mind,Which stack of books was Mika talking about?,¿A cuál torre de libros se refería Melisa?,¿A cuál torre de libros se refería Melisa?,Welchen Bücherstapel hat Mika gemeint?,NO APPROVED TRANSLATION,,Pri kiu stako de libroj Mika parolis?,NO APPROVED TRANSLATION,Over welke stapel boeken had Mika het?,
ToM-scene-17-q3-emotion_reasoning,theory-of-mind,Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,La mamá busca en la torre de libros equivocada y no encuentra el libro que quería. ¿Cómo creés que se siente la mamá al no encontrar el libro que quería?,La mamá busca en la torre de libros equivocada y no encuentra el libro que quería. ¿Cómo crees que se siente la mamá al no encontrar el libro que quería?,"Mama schaut in den falschen Stapel und findet das Buch nicht, das sie gesucht hat. Was glaubst du, wie Mama sich fühlt, wenn sie das gewünschte Buch nicht findet?",NO APPROVED TRANSLATION,,"Patrino rigardas en la malĝusta stako de libroj kaj ne trovas la libron, kiun ŝi volis. Kiel vi pensas, ke patrino sentiĝas pri ne trovado de la libro, kiun ŝi volis?",NO APPROVED TRANSLATION,Mama kijkt in de verkeerde stapel boeken en kan het boek dat ze wilde niet vinden. Hoe denk je dat mama zich voelt als ze het boek dat ze wilde niet vindt?,
ToM-scene-17-q4-emotion_reasoning,theory-of-mind,How do you think Mom would feel if she could find the book she wanted?,¿Cómo creés que se sentiría la mamá si pudiera encontrar el libro que quería?,¿Cómo crees que se sentiría la mamá si pudiera encontrar el libro que quería?,"Was glaubst du, wie sie sich fühlen würde, wenn sie das Buch finden würde, das sie sucht?",NO APPROVED TRANSLATION,,"Kiel vi pensas, ke patrino sentiĝus, se ŝi povus trovi la libron, kiun ŝi volis?",NO APPROVED TRANSLATION,Hoe denk je dat mama zich zou voelen als ze het boek zou vinden dat ze wilde?,
ToM-scene-18-instruct1,theory-of-mind,"George and Kat are playing together. They look outside and see a new toy shop across the street. Kat decides to go buy some new toys at the toy shop. Kat asks George what toy he would like to have, and George says he would like a new basketball.",Jorge y Catalina están jugando juntos. Miran afuera y ven una juguetería nueva al otro lado de la calle. Catalina decide ir a comprar juguetes a la juguetería. Catalina le pregunta a Jorge cuál juguete le gustaría tener y Jorge dice que le gustaría una pelota de básquet nueva.,Jorge y Catalina están jugando juntos. Miran fuera y ven una juguetería nueva al otro lado de la calle. Catalina decide ir a comprar juguetes a la juguetería. Catalina le pregunta a Jorge cuál juguete le gustaría tener y Jorge dice que le gustaría un balón de baloncesto nuevo.,"Georg und Theresa spielen zusammen. Sie schauen nach draußen und sehen auf der anderen Straßenseite ein neues Spielzeuggeschäft. Theresa beschließt, ein paar neue Spielsachen in dem Geschäft zu kaufen. Theresa fragt Georg, welches Spielzeug er gerne hätte, und Georg sagt, er hätte gerne einen neuen Basketball.",NO APPROVED TRANSLATION,,"Georgo kaj Kat ludas kune. Ili rigardas eksteren kaj vidas novan ludilvendejon trans la strato. Kat decidis aĉeti kelkajn novajn ludilojn en la ludilvendejo. Kat demandas al Georgo, kian ludilon li ŝatus havi, kaj Georgo diras, ke li ŝatus novan basketbalon.",NO APPROVED TRANSLATION,"Gert en Katrien spelen samen. Ze kijken naar buiten en zien een nieuwe speelgoedwinkel aan de overkant van de straat. Kat besluit om wat nieuw speelgoed te kopen bij de speelgoedwinkel. Katrien vraagt Gert welk speelgoed hij zou willen hebben, en Gert zegt dat hij een nieuwe basketbal zou willen.",
