identifier,labels,en,es-CO,de,fr-CA,nl,context
ToM-transition,theory-of-mind,Nice work! Here is a new story.,¡Bien hecho! Ahora vamos con una nueva historia.,Sehr gut! Hier ist eine neue Geschichte.,Nice work! Here is a new story.,Goed werk! Hier is een nieuw verhaal.,"ToM-transition
"
ToM-scene1-instruct1,theory-of-mind,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Esta es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.","Das ist Laura. Heute Morgen hat Laura ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ","Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Hier is Madison. Vanmorgen legde Madison haar boek achter de stoel, omdat ze niet wilde dat iemand het zou vinden. ","ToM-scene1-instruct1
Final es-co & de translation review complete"
ToM-scene1-instruct2,theory-of-mind,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Pero cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.","Aber als Laura draußen gespielt hat, hat es jemand gefunden und unter dem Teppich versteckt. ","But when Madison was outside playing, someone did find it! And hid it under the rug. ","Maar toen Madison buiten aan het spelen was, vond iemand het wel! En verstopte het onder het tapijt. ","ToM-scene1-instruct2
Final es-co & de translation review complete"
ToM-scene1-instruct3,theory-of-mind,So now it’s reading time and Madison wants her book.,"Ahora, es el momento de leer y Marisol quiere su libro.",Jetzt möchte Laura aber gern ihr Buch weiterlesen.,So now it’s reading time and Madison wants her book.,Het is nu tijd om te lezen en Madison wil haar boek.,"ToM-scene1-instruct3
Final es-co & de translation review complete"
ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book?,¿Dónde buscará Marisol su libro primero?,Wo wird Laura zuerst nach ihrem Buch suchen? ,Where will Madison look first for her book?,Waar zal Madison als eerste naar haar boek zoeken?,"ToM-scene1-q1-false_belief
Final es-co & de translation review complete"
chair,theory-of-mind,Behind the chair,Detrás de la silla,Hinter dem Stuhl,Behind the chair,Achter de stoel,"chair
Final es-co & de translation review complete"
rug,theory-of-mind,Under the rug,Debajo de la alfombra,Unter dem Teppich,Under the rug,Onder het tapijt,"rug
Final es-co & de translation review complete"
ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really?,¿Y dónde está realmente su libro?,Und wo ist ihr Buch wirklich?,And where is her book really?,En waar is haar boek eigenlijk?,"ToM-scene1-q2-reality_check
Final es-co & de translation review complete"
ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Toen hij vanmorgen op school kwam, legde Ethan zijn boek op de plank boven de kapstok. Ethans boek is blauw! ","ToM-scene2-instruct1
Final es-co & de translation review complete"
ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","En toen ging hij naar buiten om te spelen, zie je? Hier is Ethan buiten aan het spelen. En terwijl hij buiten aan het spelen was, viel Ethans boek van boven de kapstokhaken op de grond onder de jassen, zie je? ","ToM-scene2-instruct2
Final es-co & de translation review complete"
ToM-scene2-instruct3,theory-of-mind,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Dan komt Hannah binnen en Hannah hangt haar boek boven de kapstok. Hannah's boek is ook blauw! Ethan is nog buiten aan het spelen, dus hij zag niet wat Hannah deed.","ToM-scene2-instruct3
Final es-co & de translation review complete"
ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book?","Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?","Now, when Ethan comes in from outside, where will he look first for his book?","Als Ethan van buiten binnenkomt, waar zal hij dan als eerste naar zijn boek zoeken?","ToM-scene2-q1-false_belief
Final es-co & de translation review complete"
shelf,theory-of-mind,On the shelf,Sobre la repisa,Oben im Regal,On the shelf,Op de plank,"shelf
Final es-co & de translation review complete"
coats,theory-of-mind,Under the coats,Debajo de los abrigos,Unter den Mänteln,Under the coats,Onder de jassen,"coats
Final es-co & de translation review complete"
ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Veamos lo que Elián hace. Oh, mira, Elián está cogiendo el libro que está sobre la repisa. Y ahora Ana ve a Elián cogiendo ese libro... ¡el libro que es de Ana!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Laten we eens kijken wat hij doet. Oh kijk, hier is Ethan die naar dit boek op de plank grijpt. En nu ziet Hannah Ethan naar dat boek grijpen... het boek dat van Hannah is!","ToM-scene2-instruct4
Final es-co & de translation review complete"
ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Hannah feels about Ethan reaching for that book? ,¿Cómo crees que se siente Ana cuando Elián coge ese libro?,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift? ",How do you think Hannah feels about Ethan reaching for that book? ,Wat denk je dat Hannah ervan vindt dat Ethan dat boek pakt? ,"ToM-scene2-q2-emotion_reasoning
Final es-co & de translation review complete"
ToM-scene2-q7-emotion_reasoning,theory-of-mind,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,¿Cómo crees que se sentiría Ana si no hubiera visto a Elián coger el libro?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?",How do you think Hannah would feel if she had not seen Ethan reaching for the book?,Hoe denk je dat Hannah zich zou voelen als ze niet had gezien dat Ethan naar het boek greep?,"ToM-scene2-q7-emotion_reasoning
"
ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Hannah's book?,¿Elián está siendo malo y travieso al tomar el libro de Ana?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?",Is Ethan being mean and naughty for taking Hannah's book?,Is Ethan gemeen en ondeugend omdat hij Hannahs boek heeft meegenomen?,"ToM-scene2-q3-false_belief
Final es-co & de translation review complete"
ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Hannah's book?,¿Debería Elián estar en problemas con el maestro por tomar el libro de Ana?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",Should Ethan get in trouble with the teacher for taking Hannah's book?,Moet Ethan problemen krijgen met de leraar omdat hij Hannahs boek heeft meegenomen?,"ToM-scene2-q4-false_belief
Final es-co & de translation review complete"
ToM-scene2-q5-reality_check,theory-of-mind,Can you help Hannah find her book? Is it on the shelf or under the coats?,¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",Can you help Hannah find her book? Is it on the shelf or under the coats?,Kun jij Hannah helpen haar boek te vinden? Ligt het in de kast of onder de jassen?,"ToM-scene2-q5-reality_check
Final es-co & de translation review complete"
ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or under the coats?,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,"Kannst du Justus helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",Can you help Ethan find his book? Is it on the shelf or under the coats?,Kun jij Ethan helpen zijn boek te vinden? Ligt het in de kast of onder de jassen?,"ToM-scene2-q6-reality_check
Final es-co & de translation review complete"
ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.","Johann, Lisa und Max spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Joshua, Isabel en Ivan spelen een spelletje. Zo gaat het spelletje: Een kind verstopt zich, maar tekent een aanwijzing in de zandbak zodat de andere kinderen hem kunnen vinden. ","ToM-scene3-instruct1
Final es-co & de translation review complete"
ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",Max fängt an. Er malt einen Hinweis in den Sandkasten und versteckt sich dann.,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ",Dus Ivan gaat als eerste. Hij tekent deze aanwijzing in de zandbak en gaat dan verstoppen. ,"ToM-scene3-instruct2
Final es-co & de translation review complete"
ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarlo.,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Lisa und Max werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Nu is het Joshua's beurt om een aanwijzing achter te laten en zich te verstoppen. Isabel en Ivan zullen dan proberen de aanwijzing te gebruiken om hem te vinden.,"ToM-scene3-instruct3
Final es-co & de translation review complete"
ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.","Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Joshua besluit zich achter de fontein te verstoppen. Hij tekent een aanwijzing in het zand. Hij probeert de fontein te tekenen, met het onderste gedeelte en het water dat eruit komt. Maar de tekening lijkt op een boom! Dan gaat Joshua zich verstoppen achter de fontein.","ToM-scene3-instruct4
Final es-co & de translation review complete"
ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw?,¿Qué quería dibujar Johan?,Was wollte Johann zeichnen?,What did Joshua mean to draw?,Wat wilde Jozua tekenen?,"ToM-scene3-q1
Final es-co & de translation review complete"
fountain,theory-of-mind,A fountain,Una fuente,Einen Springbrunnen,A fountain,Een fontein,"fountain
Final es-co & de translation review complete"
tree,theory-of-mind,A tree,Un árbol,Einen Baum,A tree,Een boom,"tree
Final es-co & de translation review complete"
ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? ","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?","Sobald Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? ","When Isabel and Ivan see this clue, where will they look first for Joshua? ",Waar gaan Isabel en Ivan als eerste naar Joshua zoeken als ze deze aanwijzing zien? ,"ToM-scene3-q2-false_belief
Final es-co & de translation review complete"
ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is?,¿Puedes ayudarles a encontrar dónde está realmente Johan?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",Can you help them find where Joshua really is?,Kun jij ze helpen ontdekken waar Joshua werkelijk is?,"ToM-scene3-q2-reality_check
Final es-co & de translation review complete"
behind-fountain,theory-of-mind,Behind the fountain,Detrás de la fuente,Hinter dem Springbrunnen,Behind the fountain,Achter de fontein,"behind-fountain
Final es-co & de translation review complete"
behind-tree,theory-of-mind,Behind the tree,Detrás del árbol,Hinter dem Baum,Behind the tree,Achter de boom,"behind-tree
Final es-co & de translation review complete"
ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?","Schau, Lisa und Max haben Johann gefunden und das Spiel gewonnen! Was glaubst du, wie Lisa sich fühlt, weil sie das Spiel gewonnen hat?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Kijk, Isabel en Ivan vonden Joshua en wonnen het spel! Hoe denk je dat Isabel zich voelt over het winnen van het spel?","ToM-scene3-q3-emotion_reasoning
Final es-co & de translation review complete"
ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Jetzt sind die Spiele vorbei, und es ist Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen einsammeln. ","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Nu zijn de spelletjes afgelopen en is het bijna tijd om naar huis te gaan. Moeder zegt tegen de kinderen dat ze al hun speelgoed moeten zoeken. ,"ToM-scene4-instruct1
Final es-co & de translation review complete"
ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.","Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht mehr finden. Er sucht überall, aber er kann ihn nicht finden. ","Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Joshua heeft zijn speelgoedtruck meegenomen naar het park, maar nu kan hij hem niet vinden. Hij zoekt overal, maar hij kan hem niet vinden. ","ToM-scene4-instruct2
Final es-co & de translation review complete"
ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?,¿Cómo se siente Johan por perder su camión?,Was denkt Johann über den Verlust seines Lastwagens?,How does Joshua feel about losing his truck?,Wat vindt Joshua ervan dat hij zijn vrachtwagen kwijtraakt?,"ToM-scene4-q1-emotion_reasoning
Final es-co & de translation review complete"
ToM-scene4-q8-emotion_reasoning,theory-of-mind,How would Joshua feel if he found his truck?,¿Cómo se sentiría Johan si encontrara su camión?,"Wie würde sich Johann fühlen, wenn er seinen Lastwagen finden würde?",How would Joshua feel if he found his truck?,Hoe zou Joshua zich voelen als hij zijn vrachtwagen zou vinden?,"ToM-scene4-q8-emotion_reasoning
"
ToM-scene4-instruct3,theory-of-mind,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.","Johann kann seinen Lastwagen nicht finden, weil Lisa vorhin, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat. ","Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Joshua kan zijn vrachtwagen niet vinden, want eerder die dag, toen niemand keek, heeft Isabel de speelgoedvrachtwagen gepakt en in de zandbak begraven. ","ToM-scene4-instruct3
Final es-co & de translation review complete"
ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Mamá se enoja con Johan porque perdió el camión.","Johann sucht also überall, aber er kann seinen Spielzeug-LKW nicht finden. Seine Mutter wird wütend auf Johann, weil er seinen Laster verloren hat.","So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Dus Joshua zoekt overal en hij kan zijn speelgoedtruck niet vinden. Moeder wordt boos op Joshua, omdat hij zijn truck kwijt is.","ToM-scene4-instruct4
Final es-co & de translation review complete"
ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck?,¿Es justo que Mamá se enoje con Johan por haber perdido su camión?,"Ist es fair, dass Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat? ",Is it fair that Mother is mad at Joshua for losing his truck?,Is het eerlijk dat moeder boos is op Joshua omdat hij zijn vrachtwagen kwijt is?,"ToM-scene4-q2
Final es-co & de translation review complete"
ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? ,¿Mamá está enojada con Isabel? ,Ist Mutter böse auf Lisa? ,Is Mother mad at Isabel? ,Is moeder boos op Isabel? ,"ToM-scene4-q3
Final es-co & de translation review complete"
ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? ,¿Johan está enojado con Isabel? ,Ist Johann böse auf Lisa? ,Is Joshua mad at Isabel? ,Is Joshua boos op Isabel? ,"ToM-scene4-q4-false_belief
Final es-co & de translation review complete"
ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Cuando Isabel se da cuenta de que Mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.","Als Lisa sieht, dass Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.","When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Als Isabel ziet dat moeder boos is op Joshua, gaat ze naar de zandbak, graaft de speelgoedvrachtwagen op en geeft hem terug aan Joshua.","ToM-scene4-instruct5
Final es-co & de translation review complete"
ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now?,¿Ahora Mamá está enojada con Johan?,Ist Mutter jetzt böse auf Johann?,Is Mother mad at Joshua now?,Is moeder nu boos op Joshua?,"ToM-scene4-q5
Final es-co & de translation review complete"
ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now?,¿Ahora Mamá está enojada con Isabel?,Ist Mutter jetzt böse auf Lisa?,Is Mother mad at Isabel now?,Is moeder nu boos op Isabel?,"ToM-scene4-q6
Final es-co & de translation review complete"
ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now?,¿Ahora Johan está enojado con Isabel?,Ist Johann jetzt böse auf Lisa?,Is Joshua mad at Isabel now?,Is Joshua nu boos op Isabel?,"ToM-scene4-q7
Final es-co & de translation review complete"
ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel le pide disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y Mamá se une a ellos.","Lisa sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine große Umarmung. Johann erwidert die Umarmung, und auch Mutter schließt sich ihr an.","Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.",Isabel vertelt Joshua dat het haar heel erg spijt en ze geeft hem een dikke knuffel. Joshua geeft haar een dikke knuffel terug en moeder doet mee.,"ToM-scene4-instruct6
Final es-co & de translation review complete"
ToM-scene5-instruct1,theory-of-mind,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto. ","Das ist Katie. Heute früh hat die Mama von Katie das Haus geputzt, während Katie zugesehen hat. Mama hat drei Tassen in der Küche stehen lassen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgroße Tasse auf dem Tisch und eine große Tasse, die sie ganz oben auf das Regal gestellt hat. ","This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Dit is Katie. Eerder vandaag was Katie's moeder het huis aan het schoonmaken, terwijl Katie toekeek. Moeder liet drie kopjes in de keuken staan. Er staat een klein kopje op het aanrecht, een middelgrote kop op tafel en een grote kop die ze hoog op de plank heeft gezet. ","ToM-scene5-instruct1
Final es-co & de translation review complete"
ToM-scene5-instruct2,theory-of-mind,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Carla y Papá acaban de entrar y Carla le pide a su papá que le de una taza. Carla le dice a su papá ""¡quiero la taza grande!"".","Katie und Vater kommen in die Küche und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die große Tasse!""","Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Katie en papa komen net binnen en Katie vraagt haar vader om een kopje voor haar te halen. Katie zegt tegen haar vader: ""Ik wil de grote beker!""","ToM-scene5-instruct2
Final es-co & de translation review complete"
ToM-scene5-q1,theory-of-mind,Which cup will Dad give Katie?,¿Cuál taza le dará el Papá a Carla?,Welche Tasse wird Papa Katie geben?,Which cup will Dad give Katie?,Welke beker zal papa aan Katie geven?,"ToM-scene5-q1
Final es-co & de translation review complete"
ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Katie want?,¿Cuál taza quiere Carla?,Welche Tasse möchte Katie haben?,Which cup does Katie want?,Welke beker wil Katie?,"ToM-scene5-q2-reality_check
Final es-co & de translation review complete"
small_cup,theory-of-mind,The small cup,La taza pequeña,Die kleine Tasse,The small cup,Het kleine kopje,"small_cup
Final es-co & de translation review complete"
medium_cup,theory-of-mind,The medium sized cup,La taza mediana,Die mittelgroße Tasse,The medium sized cup,De middelgrote beker,"medium_cup
Final es-co & de translation review complete"
large_cup,theory-of-mind,The big cup,La taza grande,Die große Tasse,The big cup,De grote beker,"large_cup
Final es-co & de translation review complete"
ToM-scene5-q3-emotion_reasoning,theory-of-mind,How does Katie feel about not getting the cup she wanted?,¿Cómo se siente Carla por no recibir la taza que quería?,"Wie fühlt sich Katie, wenn sie nicht die Tasse bekommt, die sie wollte?",How does Katie feel about not getting the cup she wanted?,Wat vindt Katie ervan dat ze niet de beker heeft gekregen die ze wilde?,"ToM-scene5-q3-emotion_reasoning
"
ToM-scene5-q4-emotion_reasoning,theory-of-mind,How would Katie feel if she had received the cup she wanted?,¿Cómo se sentiría Carla si hubiera recibido la taza que quería?,"Wie würde sich Katie fühlen, wenn sie die Tasse bekommen hätte, die sie sich gewünscht hat?",How would Katie feel if she had received the cup she wanted?,Hoe zou Katie zich voelen als ze de beker had gekregen die ze wilde?,"ToM-scene5-q4-emotion_reasoning
"
ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va.","Sam und Maria spielen zusammen. Sie schauen nach draußen und sehen ein neues Geschäft auf der anderen Straßenseite. Maria sagt zu Sam: ""Ich werde dort neue T-shirts für uns kaufen"", und sie geht weg.","Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam en Maria spelen samen. Ze kijken naar buiten en zien een nieuwe winkel aan de overkant van de straat. Maria zegt tegen Sam: ""Ik ga daar nieuwe shirts voor ons kopen,"" en ze loopt weg.","ToM-scene6-instruct1
Final es-co & de translation review complete"
ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","        
Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam.","Mama kommt nach Hause und erzählt Sam, dass sie gerade an dem Laden vorbeigelaufen ist. ""Verkaufen sie T-shirts?"" fragt Sam. ""Nein"", sagt Mama, ""sie verkaufen nur Schuhe"". ""Maria wird jetzt wahrscheinlich Schuhe im Laden kaufen"", sagt Sam.","Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","Mama komt thuis en vertelt Sam dat ze net langs de winkel is gelopen. ""Verkopen ze shirts?"" vraagt Sam. ""Nee,"" zegt mama, ""Ze verkopen alleen schoenen."" ""Maria gaat nu waarschijnlijk schoenen halen in de winkel,"" zegt Sam.","ToM-scene6-instruct2
Final es-co & de translation review complete"
ToM-scene6-q1,theory-of-mind,Does Maria know that they are selling shoes in the shop?,"	
¿María sabe que en la tienda venden zapatos?","Weiß Maria, dass in dem Laden Schuhe verkauft werden?",Does Maria know that they are selling shoes in the shop?,Weet Maria dat er in de winkel schoenen worden verkocht?,"ToM-scene6-q1
Final es-co & de translation review complete"
