identifier,labels,en,es-CO,de,fr-CA,nl,context
ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",Max fängt an. Er malt einen Hinweis in den Sandkasten und versteckt sich dann.,"Alors, Ivan passe en premier. Il dessine cet indice dans le bac à sable, puis il va se cacher. ",Dus Ivan gaat als eerste. Hij tekent deze aanwijzing in de zandbak en gaat dan verstoppen. ,
ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarlo.,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Lisa und Max werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.",C'est maintenant au tour de Joshua de laisser un indice et de se cacher. Isabel et Ivan essaieront alors d'utiliser l'indice pour le trouver.,Nu is het Joshua's beurt om een aanwijzing achter te laten en zich te verstoppen. Isabel en Ivan zullen dan proberen de aanwijzing te gebruiken om hem te vinden.,
ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.","Joshua décide de se cacher derrière la fontaine. Il dessine un indice dans le sable. Il essaie de dessiner la fontaine, avec la partie inférieure et l'eau qui en sort. Mais le dessin ressemble à un arbre à la place! Puis Joshua va se cacher derrière la fontaine.","Joshua besluit zich achter de fontein te verstoppen. Hij tekent een aanwijzing in het zand. Hij probeert de fontein te tekenen, met het onderste gedeelte en het water dat eruit komt. Maar de tekening lijkt op een boom! Dan gaat Joshua zich verstoppen achter de fontein.",
ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw?,¿Qué quería dibujar Johan?,Was wollte Johann zeichnen?,Que voulait dessiner Joshua?,Wat wilde Jozua tekenen?,
fountain,theory-of-mind,A fountain,Una fuente,Einen Springbrunnen,Une fontaine,Een fontein,
tree,theory-of-mind,A tree,Un árbol,Einen Baum,Un arbre,Een boom,
ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? ","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?","Sobald Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? ","Quand Isabel et Ivan voient cet indice, où chercheront-ils Joshua en premier ? ",Waar gaan Isabel en Ivan als eerste naar Joshua zoeken als ze deze aanwijzing zien? ,
ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is?,¿Puedes ayudarles a encontrar dónde está realmente Johan?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",Peux-tu les aider à trouver où Joshua est vraiment?,Kun jij ze helpen ontdekken waar Joshua werkelijk is?,
behind-fountain,theory-of-mind,Behind the fountain,Detrás de la fuente,Hinter dem Springbrunnen,Derrière la fontaine,Achter de fontein,
behind-tree,theory-of-mind,Behind the tree,Detrás del árbol,Hinter dem Baum,Derrière l'arbre,Achter de boom,
ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?","Schau, Lisa und Max haben Johann gefunden und das Spiel gewonnen! Was glaubst du, wie Lisa sich fühlt, weil sie das Spiel gewonnen hat?","Regarde, Isabel et Ivan ont trouvé Joshua et ont gagné le jeu! Comment penses-tu qu'Isabel se sent d'avoir gagné le jeu?","Kijk, Isabel en Ivan vonden Joshua en wonnen het spel! Hoe denk je dat Isabel zich voelt over het winnen van het spel?",
ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Jetzt sind die Spiele vorbei, und es ist Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen einsammeln. ","Maintenant les jeux sont finis, et il est presque temps de rentrer. Maman dit aux enfants de retrouver tous leurs jouets. ",Nu zijn de spelletjes afgelopen en is het bijna tijd om naar huis te gaan. Moeder zegt tegen de kinderen dat ze al hun speelgoed moeten zoeken. ,
ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.","Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht mehr finden. Er sucht überall, aber er kann ihn nicht finden. ","Joshua a apporté son camion-jouet au parc, mais maintenant il ne le trouve plus. Il cherche partout mais il ne peut pas le trouver. ","Joshua heeft zijn speelgoedtruck meegenomen naar het park, maar nu kan hij hem niet vinden. Hij zoekt overal, maar hij kan hem niet vinden. ",
ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?,¿Cómo se siente Johan por perder su camión?,Was denkt Johann über den Verlust seines Lastwagens?,Comment Joshua se sent-il après avoir perdu son camion?,Wat vindt Joshua ervan dat hij zijn vrachtwagen kwijtraakt?,
ToM-scene4-q8-emotion_reasoning,theory-of-mind,How would Joshua feel if he found his truck?,¿Cómo se sentiría Johan si encontrara su camión?,"Wie würde sich Johann fühlen, wenn er seinen Lastwagen finden würde?",Comment Joshua se sentirait-il s'il trouvait son camion?,Hoe zou Joshua zich voelen als hij zijn vrachtwagen zou vinden?,
ToM-scene4-instruct3,theory-of-mind,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.","Johann kann seinen Lastwagen nicht finden, weil Lisa vorhin, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat. ","Joshua ne trouve pas son camion parce qu'au début de la journée, quand personne ne regardait, Isabel a pris le camion-jouet et l'a enterré dans le bac à sable. ","Joshua kan zijn vrachtwagen niet vinden, want eerder die dag, toen niemand keek, heeft Isabel de speelgoedvrachtwagen gepakt en in de zandbak begraven. ",
ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Mamá se enoja con Johan porque perdió el camión.","Johann sucht also überall, aber er kann seinen Spielzeug-LKW nicht finden. Seine Mutter wird wütend auf Johann, weil er seinen Laster verloren hat.","Alors Joshua cherche partout mais il ne trouve pas son camion-jouet. Maman se fâche contre Joshua, parce qu'il a perdu son camion.","Dus Joshua zoekt overal en hij kan zijn speelgoedtruck niet vinden. Moeder wordt boos op Joshua, omdat hij zijn truck kwijt is.",
ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck?,¿Es justo que Mamá se enoje con Johan por haber perdido su camión?,"Ist es fair, dass Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat? ",Est-ce juste que Maman se fâche contre Joshua parce qu'il a perdu son camion?,Is het eerlijk dat moeder boos is op Joshua omdat hij zijn vrachtwagen kwijt is?,
ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? ,¿Mamá está enojada con Isabel? ,Ist Mutter böse auf Lisa? ,Maman est-elle fâchée contre Isabel ? ,Is moeder boos op Isabel? ,
ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? ,¿Johan está enojado con Isabel? ,Ist Johann böse auf Lisa? ,Joshua est-il fâché contre Isabel ? ,Is Joshua boos op Isabel? ,
ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Cuando Isabel se da cuenta de que Mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.","Als Lisa sieht, dass Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.","Quand Isabel voit que Maman est fâchée contre Joshua, elle va au bac à sable, déterre le camion-jouet, et le rend à Joshua.","Als Isabel ziet dat moeder boos is op Joshua, gaat ze naar de zandbak, graaft de speelgoedvrachtwagen op en geeft hem terug aan Joshua.",
ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now?,¿Ahora Mamá está enojada con Johan?,Ist Mutter jetzt böse auf Johann?,Maman est-elle encore fâchée contre Joshua maintenant?,Is moeder nu boos op Joshua?,
ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now?,¿Ahora Mamá está enojada con Isabel?,Ist Mutter jetzt böse auf Lisa?,Maman est-elle encore fâchée contre Isabel maintenant?,Is moeder nu boos op Isabel?,
ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now?,¿Ahora Johan está enojado con Isabel?,Ist Johann jetzt böse auf Lisa?,Joshua est-il encore fâché contre Isabel maintenant?,Is Joshua nu boos op Isabel?,
ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel le pide disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y Mamá se une a ellos.","Lisa sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine große Umarmung. Johann erwidert die Umarmung, und auch Mutter schließt sich ihr an.","Isabel dit à Joshua qu'elle est vraiment désolée, et elle lui fait un gros câlin. Joshua lui rend un gros câlin, et Maman se joint à eux.",Isabel vertelt Joshua dat het haar heel erg spijt en ze geeft hem een dikke knuffel. Joshua geeft haar een dikke knuffel terug en moeder doet mee.,
ToM-scene5-instruct1,theory-of-mind,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto. ","Das ist Katie. Heute früh hat die Mama von Katie das Haus geputzt, während Katie zugesehen hat. Mama hat drei Tassen in der Küche stehen lassen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgroße Tasse auf dem Tisch und eine große Tasse, die sie ganz oben auf das Regal gestellt hat. ","Voici Katie. Plus tôt aujourd'hui, la maman de Katie nettoyait la maison pendant que Katie regardait. Maman a laissé trois tasses dans la cuisine. Il y a une petite tasse sur le comptoir, une tasse de taille moyenne sur la table, et une grande tasse qu'elle avait rangée en haut, sur l'étagère. ","Dit is Katie. Eerder vandaag was Katie's moeder het huis aan het schoonmaken, terwijl Katie toekeek. Moeder liet drie kopjes in de keuken staan. Er staat een klein kopje op het aanrecht, een middelgrote kop op tafel en een grote kop die ze hoog op de plank heeft gezet. ",
ToM-scene5-instruct2,theory-of-mind,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Carla y Papá acaban de entrar y Carla le pide a su papá que le de una taza. Carla le dice a su papá ""¡quiero la taza grande!"".","Katie und Vater kommen in die Küche und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die große Tasse!""",Katie et Papa viennent d'entrer et Katie demande à son père de lui prendre une tasse. Katie dit à son père: «Je veux la grande tasse!»,"Katie en papa komen net binnen en Katie vraagt haar vader om een kopje voor haar te halen. Katie zegt tegen haar vader: ""Ik wil de grote beker!""",
ToM-scene5-q1,theory-of-mind,Which cup will Dad give Katie?,¿Cuál taza le dará el Papá a Carla?,Welche Tasse wird Papa Katie geben?,Quelle tasse Papa donnera-t-il à Katie?,Welke beker zal papa aan Katie geven?,
ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Katie want?,¿Cuál taza quiere Carla?,Welche Tasse möchte Katie haben?,Quelle tasse Katie veut-elle?,Welke beker wil Katie?,
small_cup,theory-of-mind,The small cup,La taza pequeña,Die kleine Tasse,La petite tasse,Het kleine kopje,
medium_cup,theory-of-mind,The medium sized cup,La taza mediana,Die mittelgroße Tasse,La tasse de taille moyenne,De middelgrote beker,
large_cup,theory-of-mind,The big cup,La taza grande,Die große Tasse,La grande tasse,De grote beker,
ToM-scene5-q3-emotion_reasoning,theory-of-mind,How does Katie feel about not getting the cup she wanted?,¿Cómo se siente Carla por no recibir la taza que ella quería?,"Wie fühlt sich Katie, wenn sie nicht die Tasse bekommt, die sie wollte?",Comment Katie se sent-elle de ne pas recevoir la tasse qu'elle voulait?,Wat vindt Katie ervan dat ze niet de beker heeft gekregen die ze wilde?,
ToM-scene5-q4-emotion_reasoning,theory-of-mind,How would Katie feel if she had received the cup she wanted?,¿Cómo se habría sentido Carla si recibía la taza que ella quería?,"Wie würde sich Katie fühlen, wenn sie die Tasse bekommen hätte, die sie sich gewünscht hat?",Comment Katie se sentirait-elle si elle avait reçu la tasse qu'elle voulait ?,Hoe zou Katie zich voelen als ze de beker had gekregen die ze wilde?,
ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va.","Sam und Maria spielen zusammen. Sie schauen nach draußen und sehen ein neues Geschäft auf der anderen Straßenseite. Maria sagt zu Sam: ""Ich werde dort neue T-shirts für uns kaufen"", und sie geht weg.","Sam et Maria jouent ensemble. Ils regardent dehors et voient un nouveau magasin de l'autre côté de la rue. Maria dit à Sam: «Je vais acheter de nouvelles chemises pour nous là-bas», et elle s'éloigne.","Sam en Maria spelen samen. Ze kijken naar buiten en zien een nieuwe winkel aan de overkant van de straat. Maria zegt tegen Sam: ""Ik ga daar nieuwe shirts voor ons kopen,"" en ze loopt weg.",
ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","        
Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam.","Mama kommt nach Hause und erzählt Sam, dass sie gerade an dem Laden vorbeigelaufen ist. ""Verkaufen sie T-shirts?"" fragt Sam. ""Nein"", sagt Mama, ""sie verkaufen nur Schuhe"". ""Maria wird jetzt wahrscheinlich Schuhe im Laden kaufen"", sagt Sam.","Maman rentre à la maison et elle dit à Sam qu'elle vient de passer devant le magasin. «Vendent-ils des chemises?» demande Sam. «Non», dit maman, «ils vendent seulement des chaussures». «Maria va probablement maintenant acheter des chaussures au magasin», dit Sam.","Mama komt thuis en vertelt Sam dat ze net langs de winkel is gelopen. ""Verkopen ze shirts?"" vraagt Sam. ""Nee,"" zegt mama, ""Ze verkopen alleen schoenen."" ""Maria gaat nu waarschijnlijk schoenen halen in de winkel,"" zegt Sam.",
ToM-scene6-q1,theory-of-mind,Does Maria know that they are selling shoes in the shop?,"	
¿María sabe que en la tienda venden zapatos?","Weiß Maria, dass in dem Laden Schuhe verkauft werden?",Maria sait-elle qu'ils vendent des chaussures dans le magasin?,Weet Maria dat er in de winkel schoenen worden verkocht?,
ToM-scene6-instruct3,theory-of-mind,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","María llega a la tienda y dice ""me gustaría comprar camisas."" La vendedora responde ""Sólo nos quedan medias."" Como María también necesita medias, decide comprar algunos pares.","Maria ist im Laden angekommen. ""Ich möchte gerne T-shirts kaufen"", sagt sie. ""Wir haben nur noch Socken"", sagt der Ladenbesitzer. Da Maria auch Socken braucht, beschließt sie, Socken zu kaufen.","Maria est arrivée au magasin. «Je voudrais acheter des chemises», dit-elle. «Tout ce qu'il nous reste, ce sont des chaussettes», dit le commerçant. Comme Maria a aussi besoin de chaussettes, elle décide d'en prendre.","Maria is bij de winkel aangekomen. ""Ik wil graag shirts kopen,"" zegt ze. ""We hebben alleen nog sokken,"" zegt de winkelier. Omdat Maria ook sokken nodig heeft, besluit ze om sokken te halen.",
ToM-scene6-q2,theory-of-mind,Does Sam know that Maria bought some socks?,¿Sam sabe que María ha comprado medias?,"Weiß Sam, dass Maria ein paar Socken gekauft hat?",Sam sait-il que Maria a acheté des chaussettes?,Weet Sam dat Maria sokken heeft gekocht?,
ToM-scene6-q3,theory-of-mind,What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,"Was glaubt Sam, was sie in dem Laden verkaufen?",Que pense Sam qu'ils vendent au magasin?,Wat denkt Sam dat ze in de winkel verkopen?,
shoes,theory-of-mind,Shoes,Zapatos,Schuhe,Chaussures,Schoenen,
socks,theory-of-mind,Socks,Medias,Socken,Chaussettes,Sokken,
shirts,theory-of-mind,Shirts,Camisetas,T-Shirts,Chemises,Overhemden,
ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”","Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. Voy a compartirlas con mi hermano Sam. Es una sorpresa"".
""Es muy amable de tu parte"", dice Papá. Luego le pregunta a María: ""¿Sam sabe qué le has comprado?"".","Auf dem Rückweg trifft Maria ihren Vater. Sie erzählt ihrem Vater: ""Ich habe gerade ein paar Socken gekauft. Ich werde sie mit meinem Bruder Sam teilen. Es ist eine Überraschung.""
""Das ist nett von dir"", sagt Papa. Dann fragt er Maria: ""Weiß Sam, was du ihm gekauft hast?""","Sur le chemin du retour, Maria rencontre son père. Elle lui dit: «Je viens d'acheter des chaussettes. Je vais les partager avec mon frère Sam. C'est une surprise.»
«C'est gentil de ta part», dit papa. Puis il demande à Maria : «Sam sait-il ce que tu lui as acheté ?»","Op de terugweg ontmoet Maria haar vader. Ze vertelt haar vader: ""Ik heb net wat sokken gekocht. Ik ga ze delen met mijn broer Sam. Het is een verrassing.""
""Dat is aardig van je,"" zegt vader. Dan vraagt hij Maria: ""Weet Sam wat je voor hem hebt gekocht?""",
ToM-scene6-q4,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,Que dit Maria à Papa?,Wat zegt Maria tegen papa?,
ToM-scene6-instruct5,theory-of-mind,Then Dad asks: “What does Sam think they are selling at the shop?”,"Entonces Papá pregunta: ""¿Qué cree Sam que venden en la tienda?"".","Dann fragt Papa: ""Was glaubt Sam, was sie in dem Laden verkaufen?""","Puis, papa demande : « Que pense Sam qu'ils vendent au magasin ? »","Dan vraagt papa: ""Wat denkt Sam dat ze in de winkel verkopen?""",
ToM-scene6-q5,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,Qu'est-ce que Maria dit à Papa ?,Wat zegt Maria tegen papa?,
ToM-scene6-q6,theory-of-mind,What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,"Was glaubt Sam, was sie in dem Laden verkaufen?",Que pense Sam qu'ils vendent à la boutique ?,Wat denkt Sam dat ze in de winkel verkopen?,
ToM-scene6-instruct6,theory-of-mind,Sam is very happy to get his new socks.,Sam está muy feliz por recibir sus medias nuevas.,Sam freut sich sehr über seine neuen Socken.,Sam est très content de recevoir ses nouvelles chaussettes.,Sam is erg blij met zijn nieuwe sokken.,
hostile-attribution-scene1-instruct1,hostile-attribution,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imagina que vas camino a la escuela y llevas puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usas.,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst.",Imagine que tu marches jusqu'à l'école en portant tes nouvelles chaussures. Tu aimes vraiment tes nouvelles chaussures et c'est le premier jour que tu les portes.,Stel je voor dat je naar school loopt en je draagt je nieuwe schoenen. Je bent echt dol op je nieuwe schoenen en dit is de eerste dag dat je ze draagt.,
hostile-attribution-scene1-instruct2,hostile-attribution,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","De repente, un chico te choca por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro",Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,"Soudain, un garçon te heurte par derrière. Tu trébuches et tombes dans une flaque de boue et tes nouvelles chaussures se salissent.",Opeens word je van achteren aangereden door een jongen. Je struikelt en valt in een modderplas en je nieuwe schoenen worden modderig.,
hostile-attribution-scene1-q1,hostile-attribution,Do you think that the boy bumped you on purpose or by accident?,¿Crees que el chico te golpeó a propósito o por accidente?,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?",Penses-tu que le garçon t'a heurté exprès ou par accident?,Denk je dat de jongen je expres of per ongeluk heeft gestoten?,
hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,"Maintenant, choisis l'une des trois options que tu ferais :","Kies nu een van de drie opties, zoals u dat ook zou doen:",
hostile-attribution-scene1-q2-ans1,hostile-attribution,clean up my shoes,limpiar mis zapatos,meine Schuhe sauber machen,nettoyer mes chaussures,mijn schoenen schoonmaken,
hostile-attribution-scene1-q2-ans2,hostile-attribution,walk away from the boy,alejarme del chico,sich von dem Jungen entfernen,m'éloigner du garçon,weglopen van de jongen,
hostile-attribution-scene1-q2-ans3,hostile-attribution,push the boy in the mud,empujar al chico al barro,den Jungen in den Schlamm stoßen,pousser le garçon dans la boue,duw de jongen in de modder,
hostile-attribution-scene2-instruct1,hostile-attribution,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto.","Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder rennen um die Wette. Ein Junge steht am Rand und spielt mit einem Basketball.","Imagine que tu es dans la cour de récréation. Toi et d'autres enfants faites une course. Un garçon est debout sur le côté, en train de faire rebondir un ballon de basket.",Stel je voor dat je op de speelplaats bent. Jij en een paar andere kinderen doen een race. Een jongen staat aan de kant en stuitert met een basketbal.,
hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspas la rodilla, y alguien más gana la carrera.",Dann rollt der Ball von dem Jungen unter deine Füße und du fällst hin. Du schürfst dir das Knie auf und ein anderer gewinnt das Rennen.,"Puis le garçon fait rebondir le ballon et il roule sous tes pieds, te faisant tomber. Tu écorches ton genou et quelqu'un d'autre gagne la course.","Het volgende wat je weet is dat de jongen de bal heeft laten stuiteren en dat de bal onder je voeten is gerold, waardoor je bent gevallen. Je schaaft je knie en iemand anders wint de race.",
hostile-attribution-scene2-q1,hostile-attribution,Do you think that the boy made you fall on purpose or by accident?,¿Crees que el chico te hizo caer a propósito o por accidente?,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestoßen hat?",Penses-tu que le garçon t'a fait tomber exprès ou par accident?,Denk je dat de jongen je expres liet vallen of per ongeluk?,
hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,"Maintenant, choisissez une des trois options que vous feriez :","Kies nu een van de drie opties, zoals u dat ook zou doen:",
hostile-attribution-scene2-q2-ans1,hostile-attribution,go to another area of the playground,ir a otra zona del patio de recreo,in einen anderen Bereich des Spielplatzes gehen,aller dans une autre zone de la cour,ga naar een ander deel van de speeltuin,
hostile-attribution-scene2-q2-ans2,hostile-attribution,say something mean to him,insultar al niño,etwas Gemeines zu ihm sagen,lui dire quelque chose de méchant,zeg iets gemeens tegen hem,
hostile-attribution-scene2-q2-ans3,hostile-attribution,take care of my knee,curar mi rodilla,Mein Knie verarzten.,soigner mon genou,zorg voor mijn knie,
hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk. ,Imagina que estás trabajando en una tarea en tu escritorio.,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe. ",Imagine que tu travailles sur une tâche à ton bureau ,Stel je voor dat je aan je bureau aan een opdracht werkt. ,
hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","Te levantas para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un niño que camina justo delante de ti. El niño pasa por tu escritorio antes de que tú llegues.","Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du selbst dort bist.","Tu vas aiguiser ton crayon, et en revenant à ton bureau, un garçon marche juste devant toi. Le garçon passe devant ton bureau avant que tu y arrives ","Je gaat je potlood slijpen en als je terugloopt naar je bureau, zie je een jongen vlak voor je lopen. De jongen loopt langs je bureau voordat je er bent. ",
hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo.","Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen.","Tout à coup, le garçon a fait tomber tous tes papiers de ton bureau, et ils sont éparpillés sur le sol.","Voor je het weet, heeft de jongen al je papieren van je bureau gegooid en liggen ze overal op de vloer.",
hostile-attribution-scene3-q1,hostile-attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?,¿Crees que el chico tiró tus papeles al suelo a propósito o por accidente?,"Glaubst du, der Junge hat deine Papiere absichtlich oder aus Versehen auf den Boden geworfen?",Penses-tu que le garçon a fait tomber tes papiers par terre exprès ou par accident?,Denk je dat de jongen jouw papieren expres of per ongeluk op de grond heeft gegooid?,
hostile-attribution-scene3-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,"Maintenant, choisissez une des trois options que vous feriez :","Kies nu een van de drie opties, zoals u dat ook zou doen:",
hostile-attribution-scene3-q2-ans1,hostile-attribution,call him a name,insultar al niño,ihn beleidigen,l'insulter,hem een naam geven,
